상세도로망_LinkID,도로등급,링크길이,도로명,시도명,시군구명,읍면동명,시간적범위,평일주말,혼잡빈도강도
57125499201,101,1.238,경부고속도로,경기도,오산시,대원동,전일,평일,49.1
57125499001,101,1.335,경부고속도로,경기도,오산시,대원동,전일,평일,70.67
57137697901,101,0.093,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,42.61
57135249601,101,0.324,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,96.75
57135250601,101,0.333,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,99.95
57137696601,101,0.372,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,28.56
47834474601,101,0.438,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,53.73
57135252201,101,0.457,오산화성고속도로,경기도,오산시,세마동,전일,평일,91.3
57135251801,101,0.522,오산화성고속도로,경기도,오산시,세마동,전일,평일,86.43
57137697701,101,0.667,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,42.42
57135244801,101,0.901,오산화성고속도로,경기도,오산시,세마동,전일,평일,75.86
57135245201,101,1.177,오산화성고속도로,경기도,오산시,세마동,전일,평일,71.82
57135251001,101,3.16,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,35.2
57135249001,101,3.171,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,33.56
57137698301,101,0.093,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,45.08
57135250801,101,0.32,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,97.69
57135249401,101,0.322,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,99.98
57135251201,101,0.472,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,34.14
57135250001,101,0.478,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,39.72
57137697801,101,0.62,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,48.29
57137698101,101,0.643,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,45.64
57135246401,101,0.934,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,39.96
57137698201,101,0.936,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,48.87
57135246801,101,1.062,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,49.77
57125137601,101,0.265,경부고속도로,경기도,오산시,중앙동,전일,평일,63.64
57125088001,101,0.285,경부고속도로,경기도,오산시,중앙동,전일,평일,52.66
57125137401,101,1.018,경부고속도로,경기도,오산시,중앙동,전일,평일,59.07
57125087801,101,1.235,경부고속도로,경기도,오산시,중앙동,전일,평일,54.94
57125206201,103,0.007,경기대로,경기도,오산시,대원동,전일,평일,98.6
57124864802,103,0.007,경기대로,경기도,오산시,대원동,전일,평일,99.18
57124864801,103,0.007,경기대로,경기도,오산시,대원동,전일,평일,99.88
57124436602,103,0.01,경기대로,경기도,오산시,대원동,전일,평일,98.51
57124436601,103,0.01,경기대로,경기도,오산시,대원동,전일,평일,99.16
57125350802,103,0.014,경기대로,경기도,오산시,대원동,전일,평일,97.47
57125350801,103,0.014,경기대로,경기도,오산시,대원동,전일,평일,99.92
57125200801,103,0.015,경기대로,경기도,오산시,대원동,전일,평일,98.45
57125200802,103,0.015,경기대로,경기도,오산시,대원동,전일,평일,99.71
57124416501,103,0.017,경기대로,경기도,오산시,대원동,전일,평일,99.67
57124416502,103,0.017,경기대로,경기도,오산시,대원동,전일,평일,99.71
57124634202,103,0.018,경기대로,경기도,오산시,대원동,전일,평일,97.59
57124634201,103,0.018,경기대로,경기도,오산시,대원동,전일,평일,99.58
57125201602,103,0.022,경기대로,경기도,오산시,대원동,전일,평일,98.39
57125201601,103,0.022,경기대로,경기도,오산시,대원동,전일,평일,99.75
57124864201,103,0.023,경기대로,경기도,오산시,대원동,전일,평일,99.23
57124864202,103,0.023,경기대로,경기도,오산시,대원동,전일,평일,99.86
57124382201,103,0.025,경기대로,경기도,오산시,대원동,전일,평일,99.77
57124382202,103,0.025,경기대로,경기도,오산시,대원동,전일,평일,99.84
57124505601,103,0.026,경기대로,경기도,오산시,대원동,전일,평일,98.47
57124505602,103,0.026,경기대로,경기도,오산시,대원동,전일,평일,98.9
57124274201,103,0.029,경기대로,경기도,오산시,대원동,전일,평일,99.85
57124274202,103,0.029,경기대로,경기도,오산시,대원동,전일,평일,99.89
57125351001,103,0.034,경기대로,경기도,오산시,대원동,전일,평일,97.36
57125351002,103,0.034,경기대로,경기도,오산시,대원동,전일,평일,99.94
57125116802,103,0.036,경기대로,경기도,오산시,대원동,전일,평일,99.38
57124416601,103,0.042,경기대로,경기도,오산시,대원동,전일,평일,99.55
57124416602,103,0.042,경기대로,경기도,오산시,대원동,전일,평일,99.56
57124274501,103,0.042,경기대로,경기도,오산시,대원동,전일,평일,99.86
57124274502,103,0.042,경기대로,경기도,오산시,대원동,전일,평일,99.87
57124089201,103,0.046,경기대로,경기도,오산시,대원동,전일,평일,97.42
57124089202,103,0.046,경기대로,경기도,오산시,대원동,전일,평일,99.64
57124982002,103,0.049,경기대로,경기도,오산시,대원동,전일,평일,98.5
57124982001,103,0.049,경기대로,경기도,오산시,대원동,전일,평일,98.9
57125516202,103,0.052,경기대로,경기도,오산시,대원동,전일,평일,99.25
57125516201,103,0.052,경기대로,경기도,오산시,대원동,전일,평일,99.43
57124981801,103,0.07,경기대로,경기도,오산시,대원동,전일,평일,98.64
57124981802,103,0.07,경기대로,경기도,오산시,대원동,전일,평일,98.7
