,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat,lon
0,2017012800100166,2017년 1월 28일 14시,토요일,경기도 오산시 금암동,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,39세,경상,37.174345892204066,127.05054574500852
1,2017030600100321,2017년 3월 6일 15시,월요일,경기도 오산시 금암동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,54세,상해없음,보행자,남,9세,부상신고,37.17551586284096,127.04997622400855
2,2017030600100420,2017년 3월 6일 18시,월요일,경기도 오산시 원동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,48세,상해없음,보행자,여,12세,중상,37.13618962538052,127.08254379980262
3,2017031500100415,2017년 3월 15일 17시,수요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,여,53세,상해없음,자전거,남,11세,중상,37.15361798268713,127.07713340726178
4,2017032100100170,2017년 3월 21일 09시,화요일,경기도 오산시 세교동,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,54세,상해없음,승용,여,31세,중상,37.18642659899679,127.03872573767913
5,2017033000100128,2017년 3월 30일 08시,목요일,경기도 오산시 궐동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,경상,승용,여,33세,경상,37.15815494256663,127.05378265086729
6,2017040400100369,2017년 4월 4일 17시,화요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,여,10세,경상,37.159034191667104,127.0762966947377
7,2017041200100335,2017년 4월 12일 16시,수요일,경기도 오산시 오산동,경상사고,0,0,2,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,61세,상해없음,승용,남,37세,경상,37.153437726408306,127.07715678616901
8,2017041700100095,2017년 4월 17일 08시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,46세,상해없음,보행자,여,8세,경상,37.14164722529035,127.07579186380812
9,2017042300100333,2017년 4월 23일 16시,일요일,경기도 오산시 수청동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,자전거,남,11세,부상신고,37.16390909929775,127.06109157662685
10,2017042800100190,2017년 4월 28일 09시,금요일,경기도 오산시 고현동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,보행자,남,3세,중상,37.13405731656563,127.08138179314612
11,2017050100100170,2017년 5월 1일 11시,월요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,12세,경상,승용,남,47세,상해없음,37.18615814848623,127.0325826010547
12,2017050100100363,2017년 5월 1일 16시,월요일,경기도 오산시 원동,중상사고,0,1,3,2,차대차 - 추돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,71세,상해없음,승용,여,49세,중상,37.141891023971645,127.07345825546864
13,2017050300100317,2017년 5월 3일 15시,수요일,경기도 오산시 청호동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,보행자,남,9세,경상,37.13016900335244,127.08581599770378
14,2017050500100117,2017년 5월 5일 08시,금요일,경기도 오산시 금암동,중상사고,0,1,1,5,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,38세,상해없음,승용,남,60세,중상,37.174120959412804,127.05067087402631
15,2017050900100212,2017년 5월 9일 12시,화요일,경기도 오산시 갈곶동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,11세,중상,승용,남,36세,상해없음,37.13124909756826,127.0730124569918
16,2017050900100358,2017년 5월 9일 17시,화요일,경기도 오산시 은계동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,자전거,남,10세,경상,37.16094266759975,127.07303051373236
17,2017050900100421,2017년 5월 9일 19시,화요일,경기도 오산시 궐동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승합,남,32세,상해없음,승용,남,25세,상해없음,37.15815719563863,127.05667910664765
18,2017051400100198,2017년 5월 14일 12시,일요일,경기도 오산시 세교동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,6세,중상,37.1832527036428,127.04322924105341
19,2017051700100511,2017년 5월 17일 19시,수요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,보행자,남,8세,경상,37.1515322969525,127.07639933553968
20,2017060200100161,2017년 6월 2일 08시,금요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,자전거,남,12세,경상,37.176915979439535,127.05290017496911
21,2017061200100348,2017년 6월 12일 15시,월요일,경기도 오산시 수청동,중상사고,0,1,2,2,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승합,여,52세,중상,37.16992596447469,127.05243909804489
22,2017061700100622,2017년 6월 17일 21시,토요일,경기도 오산시 외삼미동,중상사고,0,4,9,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승합,여,70세,상해없음,승용,남,41세,중상,37.18991329772236,127.0561725866724
23,2017062000100372,2017년 6월 20일 16시,화요일,경기도 오산시 원동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,7세,상해없음,승용,여,43세,상해없음,37.13886736781676,127.07027247549681
24,2017062100100387,2017년 6월 21일 17시,수요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,기타 - 기타,자전거,남,14세,기타불명,보행자,여,10세,경상,37.175156121850385,127.05021476297341
25,2017062300100140,2017년 6월 23일 08시,금요일,경기도 오산시 세교동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,46세,상해없음,보행자,남,12세,부상신고,37.18624993375972,127.03518649724363
26,2017062800100166,2017년 6월 28일 09시,수요일,경기도 오산시 세교동,경상사고,0,0,1,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,33세,상해없음,보행자,여,57세,경상,37.18957725647333,127.03520289457164
27,2017070900100303,2017년 7월 9일 17시,일요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,64세,상해없음,보행자,남,9세,경상,37.145171558490546,127.07059192786984
28,2017071500100284,2017년 7월 15일 13시,토요일,경기도 오산시 서랑동,중상사고,0,1,2,1,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,61세,경상,승용,남,24세,경상,37.17269491963677,127.00659195488528
29,2017072100100546,2017년 7월 21일 20시,금요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,자전거,여,29세,상해없음,37.155067674721884,127.07173962780041
30,2017072400100564,2017년 7월 24일 22시,월요일,경기도 오산시 수청동,중상사고,0,3,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,60세,상해없음,승용,여,35세,중상,37.162374400377395,127.06533694206792
31,2017072900100407,2017년 7월 29일 16시,토요일,경기도 오산시 오산동,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,23세,중상,37.15248314032763,127.07993354369687
32,2017080600100284,2017년 8월 6일 16시,일요일,경기도 오산시 외삼미동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,자전거,남,12세,경상,37.18924723989474,127.06348205494038
