사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2007011400100121,2007년 1월 14일 09시,일요일,경기도 오산시 세교동,경상사고,0,0,2,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,승용,남,44세,상해없음
2007021000100336,2007년 2월 10일 16시,토요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,승합,남,45세,상해없음,보행자,남,7세,경상
2007021600100327,2007년 2월 16일 14시,금요일,경기도 오산시 가수동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,3세,경상
2007030700100495,2007년 3월 7일 20시,수요일,경기도 오산시 오산동,중상사고,0,1,4,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 결빙,흐림,단일로 - 교량,승용,여,50세,경상,승용,남,30세,상해없음
2007032300100618,2007년 3월 23일 23시,금요일,경기도 오산시 궐동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도부근,승용,남,37세,상해없음,승용,남,31세,상해없음
2007032800100197,2007년 3월 28일 12시,수요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,특수,남,38세,상해없음,보행자,남,7세,경상
2007040200100260,2007년 4월 2일 15시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,44세,상해없음,보행자,남,3세,경상
2007040900100551,2007년 4월 9일 22시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,남,6세,경상
2007041500100312,2007년 4월 15일 14시,일요일,경기도 오산시 궐동,중상사고,0,2,2,0,차대차 - 정면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,승용,남,47세,중상
2007041700100242,2007년 4월 17일 13시,화요일,경기도 오산시 오산동,중상사고,0,1,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,남,34세,중상
2007042100100367,2007년 4월 21일 15시,토요일,경기도 오산시 누읍동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,남,5세,중상
2007042700100127,2007년 4월 27일 08시,금요일,경기도 오산시 궐동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,28세,상해없음,보행자,남,11세,중상
2007050400100133,2007년 5월 4일 08시,금요일,경기도 오산시 서동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,6세,중상
2007051800100108,2007년 5월 18일 06시,금요일,경기도 오산시 원동,경상사고,0,0,3,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,39세,상해없음,승용,남,27세,경상
2007052100100367,2007년 5월 21일 16시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,56세,상해없음,보행자,여,7세,경상
2007052400100201,2007년 5월 24일 09시,목요일,경기도 오산시 수청동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,32세,상해없음,보행자,남,5세,중상
2007052400100411,2007년 5월 24일 17시,목요일,경기도 오산시 부산동,중상사고,0,1,1,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 습기,비,단일로 - 기타,화물,남,62세,상해없음,승용,남,46세,중상
2007052500100560,2007년 5월 25일 20시,금요일,경기도 오산시 부산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,46세,상해없음,보행자,남,8세,중상
2007060800100506,2007년 6월 8일 20시,금요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,36세,상해없음,보행자,남,5세,경상
2007061000100397,2007년 6월 10일 19시,일요일,경기도 오산시 가수동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,44세,상해없음,보행자,여,12세,중상
2007061700100421,2007년 6월 17일 20시,일요일,경기도 오산시 오산동,경상사고,0,0,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,54세,상해없음,승용,남,41세,경상
2007062500100288,2007년 6월 25일 14시,월요일,경기도 오산시 오산동,중상사고,0,1,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,23세,상해없음,화물,남,57세,경상
2007062500100504,2007년 6월 25일 21시,월요일,경기도 오산시 청호동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,24세,상해없음,자전거,남,6세,중상
2007070700100407,2007년 7월 7일 17시,토요일,경기도 오산시 은계동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,29세,상해없음,보행자,남,12세,중상
2007071000100441,2007년 7월 10일 16시,화요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,43세,상해없음,자전거,남,7세,경상
2007071200100131,2007년 7월 12일 08시,목요일,경기도 오산시 원동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,45세,상해없음,보행자,남,8세,중상
2007071600100258,2007년 7월 16일 13시,월요일,경기도 오산시 가수동,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,60세,상해없음,보행자,남,7세,중상
2007072400100298,2007년 7월 24일 16시,화요일,경기도 오산시 청학동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,여,45세,상해없음,보행자,여,6세,중상
2007080900100311,2007년 8월 9일 17시,목요일,경기도 오산시 고현동,중상사고,0,1,3,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 습기,흐림,단일로 - 기타,승용,남,40세,상해없음,승용,여,30세,중상
2007081200100171,2007년 8월 12일 09시,일요일,경기도 오산시 세교동,경상사고,0,0,3,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,50세,상해없음,승용,여,40세,경상
2007090100100517,2007년 9월 1일 18시,토요일,경기도 오산시 궐동,중상사고,0,2,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 습기,비,교차로 - 교차로부근,화물,남,44세,상해없음,승합,여,34세,중상
2007090100100607,2007년 9월 1일 20시,토요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 습기,흐림,기타 - 기타,이륜,남,29세,상해없음,보행자,남,3세,경상
2007090800100453,2007년 9월 8일 17시,토요일,경기도 오산시 오산동,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,36세,경상
2007092200100417,2007년 9월 22일 15시,토요일,경기도 오산시 오산동,중상사고,0,1,2,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 습기,흐림,교차로 - 교차로부근,승용,남,55세,상해없음,승용,남,40세,중상
2007092500100223,2007년 9월 25일 14시,화요일,경기도 오산시 내삼미동,경상사고,0,0,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,29세,상해없음,승용,남,38세,경상
2007100600100298,2007년 10월 6일 14시,토요일,경기도 오산시 갈곶동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,남,12세,중상
2007101000100346,2007년 10월 10일 17시,수요일,경기도 오산시 내삼미동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,기타불명,기타불명,기타불명,자전거,남,6세,경상
2007102000100247,2007년 10월 20일 11시,토요일,경기도 오산시 원동,경상사고,0,0,3,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,남,46세,경상
2007102100100364,2007년 10월 21일 17시,일요일,경기도 오산시 부산동,중상사고,0,1,6,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,40세,경상
2007102400100252,2007년 10월 24일 14시,수요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,34세,상해없음,보행자,남,7세,경상
2007102800100161,2007년 10월 28일 09시,일요일,경기도 오산시 원동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,52세,상해없음,승용,남,34세,경상
2007110600100375,2007년 11월 6일 17시,화요일,경기도 오산시 원동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,여,35세,상해없음,보행자,남,4세,중상
2007112000100348,2007년 11월 20일 13시,화요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,40세,상해없음,보행자,남,6세,경상
2007112500100353,2007년 11월 25일 18시,일요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 횡단보도상,원동기,남,16세,상해없음,보행자,남,10세,경상
2007121400100231,2007년 12월 14일 13시,금요일,경기도 오산시 갈곶동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,단일로 - 횡단보도상,화물,남,47세,상해없음,보행자,남,6세,중상
2007121400100309,2007년 12월 14일 16시,금요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,18세,상해없음,자전거,남,11세,중상
