,0,1,2
,,,
0,206454.6799,406324.5329,2.01E+15
,,,
1,248235.2277,419210.3585,2.01E+15
,,,
2,205395.6708,406056.8473,2.01E+15
,,,
3,205831.2607,405597.9605,2.01E+15
,,,
4,206091.3655,405028.1049,2.01E+15
,,,
5,204695.1421,405725.0256,2.01E+15
,,,
6,203825.234,410575.3529,2.01E+15
,,,
7,206030.4208,407859.9059,2.01E+15
,,,
8,206539.274,405648.7105,2.01E+15
,,,
9,207326.4949,405855.94,2.01E+15
,,,
10,206228.146,405269.9213,2.01E+15
,,,
11,206027.2607,403524.1714,2.01E+15
,,,
12,207605.7122,404506.8742,2.01E+15
,,,
13,206086.0883,405270.1731,2.01E+15
,,,
14,206545.2326,405846.8204,2.01E+15
,,,
15,209360.5418,418890.8685,2.01E+15
,,,
16,204212.2505,404719.0851,2.01E+15
,,,
17,205850.6881,405708.1065,2.01E+15
,,,
18,205985.5941,405925.9034,2.01E+15
,,,
19,206521.8364,406299.8769,2.01E+15
,,,
20,212013.8178,396460.8506,2.01E+15
,,,
21,206612.7962,406314.3619,2.01E+15
,,,
22,207247.7631,404660.0498,2.01E+15
,,,
23,206535.7311,405561.6573,2.01E+15
,,,
24,205910.4492,405378.2907,2.01E+15
,,,
25,206790.2862,405855.1147,2.01E+15
,,,
26,206385.4458,404465.4308,2.01E+15
,,,
27,207513.3588,404187.2606,2.01E+15
,,,
28,206097.9224,404733.0225,2.01E+15
,,,
29,205799.1401,406757.2503,2.01E+15
,,,
30,198523.0389,407184.0759,2.01E+15
,,,
31,206695.0374,406274.7795,2.01E+15
,,,
32,205574.0776,406182.8371,2.01E+15
,,,
33,205425.7369,406426.1518,2.01E+15
,,,
34,208465.4739,403287.9162,2.01E+15
,,,
35,206131.6186,403843.8477,2.01E+15
,,,
36,206094.4287,405965.4925,2.01E+15
,,,
37,206007.7024,405147.7116,2.01E+15
,,,
38,205952.6115,406869.1033,2.01E+15
,,,
39,206096.892,406067.5459,2.01E+15
,,,
40,204569.9115,405000.0798,2.01E+15
,,,
41,205101.7028,406977.6624,2.01E+15
,,,
42,206140.4155,404072.9848,2.01E+15
,,,
43,206851.2968,406047.5126,2.01E+15
,,,
44,206963.8233,405956.0691,2.01E+15
,,,
45,203094.1872,408253.5852,2.01E+15
,,,
46,206468.8327,406296.5964,2.01E+15
,,,
47,199034.6792,447916.6089,2.01E+15
,,,
48,207119.8924,406524.1171,2.01E+15
,,,
49,206635.0057,404567.7858,2.01E+15
,,,
50,205462.0668,405607.0192,2.01E+15
,,,
51,206547.1829,404717.3826,2.01E+15
,,,
52,205624.4432,406876.3769,2.01E+15
,,,
53,206075.1711,403924.5824,2.01E+15
,,,
54,203880.6929,404610.2959,2.01E+15
,,,
55,203868.6938,404609.2323,2.01E+15
,,,
56,206652.8749,406871.7943,2.01E+15
,,,
57,206302.377,403712.6949,2.01E+15
,,,
58,206603.743,405184.866,2.01E+15
,,,
59,205336.6409,406437.6869,2.01E+15
,,,
60,206074.1781,406770.7049,2.01E+15
,,,
61,207132.5061,406028.9868,2.01E+15
,,,
62,203255.9344,404327.8943,2.01E+15
,,,
63,204290.2569,404913.5726,2.01E+15
,,,
64,206441.6068,405578.168,2.01E+15
,,,
65,206243.8602,403806.4239,2.01E+15
,,,
66,206612.3404,405261.9419,2.01E+15
,,,
67,206941.9736,404217.2634,2.01E+15
,,,
68,206067.9069,403594.4133,2.01E+15
,,,
69,207099.5558,406206.8838,2.01E+15
,,,
70,206443.6705,403857.4964,2.01E+15
,,,
71,204924.8413,408835.4643,2.01E+15
,,,
72,206535.541,404838.3693,2.01E+15
,,,
73,206777.1746,405305.8276,2.01E+15
,,,
74,206367.4965,405403.7084,2.01E+15
,,,
75,202551.0745,410510.6082,2.01E+15
,,,
76,206077.3908,405971.4051,2.01E+15
,,,
77,206561.0422,405314.6926,2.01E+15
,,,
78,206031.1129,405641.0304,2.01E+15
,,,
79,206533.1461,404723.311,2.01E+15
,,,
80,206501.4441,404854.196,2.01E+15
,,,
81,207347.6715,404115.3594,2.01E+15
,,,
82,205253.2345,406698.3505,2.01E+15
,,,
83,206089.6615,405541.2993,2.01E+15
,,,
84,205804.3404,405580.8119,2.01E+15
,,,
85,206663.4515,405624.355,2.01E+15
,,,
86,206450.4138,404096.6267,2.01E+15
,,,
87,207603.1454,404044.6767,2.01E+15
,,,
88,207669.4737,406645.0609,2.01E+15
,,,
89,204542.3639,405101.9749,2.01E+15
,,,
90,204706.2337,408934.3509,2.01E+15
,,,
91,206624.8752,406869.6459,2.01E+15
,,,
92,205314.1272,408241.2815,2.01E+15
,,,
93,206197.3943,407118.492,2.01E+15
,,,
94,207929.6729,403779.2906,2.01E+15
,,,
95,206248.8052,404576.7553,2.01E+15
,,,
96,206245.4561,403693.3875,2.01E+15
,,,
97,206027.694,405910.119,2.01E+15
,,,
98,206930.4842,405258.6164,2.01E+15
,,,
99,207744.4999,403608.2474,2.01E+15
,,,
100,205357.0544,410534.4147,2.01E+15
,,,
101,204602.9403,410120.2745,2.01E+15
,,,
102,206248.4447,405784.2321,2.01E+15
,,,
103,206478.8318,406866.8753,2.01E+15
,,,
104,203968.8516,409520.6947,2.01E+15
,,,
105,205886.7326,406461.5948,2.01E+15
,,,
106,206618.941,405528.0823,2.01E+15
,,,
107,206616.9047,405344.9989,2.01E+15
,,,
108,206527.2862,404696.2694,2.01E+15
,,,
109,206525.3487,404684.2545,2.01E+15
,,,
110,206525.296,404694.2582,2.01E+15
,,,
111,206483.2521,404129.8128,2.01E+15
,,,
112,205941.0942,405827.6301,2.01E+15
,,,
113,206229.4626,405209.9044,2.01E+15
,,,
114,206131.1462,403553.7302,2.01E+15
,,,
115,206947.6659,404086.2413,2.01E+15
,,,
116,206772.9452,405538.8978,2.01E+15
,,,
117,206950.9822,404216.3104,2.01E+15
,,,
118,204792.3763,403219.5486,2.01E+15
,,,
119,205314.1377,408239.2807,2.01E+15
,,,
120,206073.2034,406196.4722,2.01E+15
,,,
121,204880.4242,408911.2601,2.01E+15
,,,
122,207412.8599,403894.615,2.01E+15
,,,
123,206532.6845,404431.1927,2.01E+15
,,,
124,205915.6258,406673.8311,2.01E+15
,,,
125,206272.7462,403450.4349,2.01E+15
,,,
126,206002.5886,405358.7683,2.01E+15
,,,
127,206535.1363,404725.3223,2.01E+15
,,,
128,203871.3828,403908.9707,2.01E+15
,,,
129,207005.2069,406645.561,2.01E+15
,,,
130,206105.6486,403266.4821,2.01E+15
,,,
131,205907.4053,403677.6011,2.01E+15
,,,
132,206155.1972,403545.8537,2.01E+15
,,,
133,207421.9002,403887.6598,2.01E+15
,,,
134,206352.7283,403459.8598,2.01E+15
,,,
135,206246.428,405027.9216,2.01E+15
,,,
136,206544.8768,405534.6947,2.01E+15
,,,
137,206950.8241,404246.3215,2.01E+15
,,,
138,206059.8318,406645.5797,2.01E+15
,,,
139,207107.9029,405951.8265,2.01E+15
,,,
140,205726.8167,407002.9665,2.01E+15
,,,
141,206846.4215,406023.4773,2.01E+15
,,,
142,205525.8023,406800.8273,2.01E+15
,,,
143,203820.1071,410030.1111,2.01E+15
,,,
144,205751.078,406385.85,2.01E+15
,,,
145,205115.0993,406713.6287,2.01E+15
,,,
146,210015.5245,401686.4365,2.01E+15
,,,
147,206358.4852,405784.812,2.01E+15
,,,
148,206537.8697,404586.2815,2.01E+15
,,,
149,204036.7008,407657.3182,2.01E+15
,,,
150,206745.4528,405250.6386,2.01E+15
,,,
151,204211.0169,406471.7695,2.01E+15
,,,
152,205442.8034,410398.8132,2.01E+15
,,,
153,206797.472,405250.9127,2.01E+15
,,,
154,206491.9783,406270.708,2.01E+15
,,,
155,203784.0034,409667.778,2.01E+15
,,,
156,204716.582,403934.4317,2.01E+15
,,,
157,207196.5966,404687.7913,2.01E+15
,,,
158,204449.8304,408801.947,2.01E+15
,,,
159,206932.9882,406302.0441,2.01E+15
