사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2014010500100169,2014년 1월 5일 14시,일요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,남,7세,경상
2014011800100493,2014년 1월 18일 23시,토요일,경기도 오산시 원동,경상사고,0,0,3,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,남,31세,경상
2014011900100378,2014년 1월 19일 20시,일요일,경기도 오산시 오산동,중상사고,0,2,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,여,35세,중상
2014012600100299,2014년 1월 26일 17시,일요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,42세,상해없음,자전거,남,7세,경상
2014012700100126,2014년 1월 27일 09시,월요일,경기도 오산시 세교동,경상사고,0,0,4,2,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,35세,상해없음,승합,남,51세,경상
2014012700100437,2014년 1월 27일 19시,월요일,경기도 오산시 오산동,중상사고,0,1,1,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,여,33세,중상
2014012800100585,2014년 1월 28일 19시,화요일,경기도 오산시 원동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,7세,중상
2014012800100611,2014년 1월 28일 20시,화요일,경기도 오산시 금암동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,33세,상해없음,보행자,남,2세,중상
2014012900100356,2014년 1월 29일 16시,수요일,경기도 오산시 가장동,경상사고,0,0,5,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,39세,경상,승용,남,41세,경상
2014022000100098,2014년 2월 20일 07시,목요일,경기도 오산시 외삼미동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,화물,남,29세,상해없음,화물,여,30세,경상
2014032600100386,2014년 3월 26일 16시,수요일,경기도 오산시 원동,경상사고,0,0,3,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승합,남,49세,상해없음
2014032900100150,2014년 3월 29일 07시,토요일,경기도 오산시 오산동,경상사고,0,0,3,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,54세,상해없음,승용,남,41세,경상
2014032900100548,2014년 3월 29일 20시,토요일,경기도 오산시 원동,중상사고,0,1,6,0,차대차 - 기타,안전거리미확보,포장 - 습기,비,단일로 - 기타,승용,남,50세,상해없음,승용,남,54세,중상
2014040400100359,2014년 4월 4일 15시,금요일,경기도 오산시 가수동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,자전거,남,12세,경상
2014040500100051,2014년 4월 5일 02시,토요일,경기도 오산시 내삼미동,경상사고,0,0,7,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,45세,경상
