,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,x,y
0,2017012800100166,2017년 1월 28일 14시,토요일,경기도 오산시 금암동,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,39세,경상,204487.1644,408361.9702
1,2017030600100321,2017년 3월 6일 15시,월요일,경기도 오산시 금암동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,54세,상해없음,보행자,남,9세,부상신고,204436.4603,408491.7542
2,2017030600100420,2017년 3월 6일 18시,월요일,경기도 오산시 원동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,48세,상해없음,보행자,여,12세,중상,207333.5873,404130.2912
3,2017031500100415,2017년 3월 15일 17시,수요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,여,53세,상해없음,자전거,남,11세,중상,206850.2121,406063.5132
4,2017032100100170,2017년 3월 21일 09시,화요일,경기도 오산시 세교동,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,건설기계,남,54세,상해없음,승용,여,31세,중상,203436.6864,409701.9603
5,2017033000100128,2017년 3월 30일 08시,목요일,경기도 오산시 궐동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,경상,승용,여,33세,경상,204776.7447,406565.7874
6,2017040400100369,2017년 4월 4일 17시,화요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,여,10세,경상,206775.0165,406664.3556
7,2017041200100335,2017년 4월 12일 16시,수요일,경기도 오산시 오산동,경상사고,0,0,2,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,61세,상해없음,승용,남,37세,경상,206852.3183,406043.5164
8,2017041700100095,2017년 4월 17일 08시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,46세,상해없음,보행자,여,8세,경상,206733.16199999998,404735.3693
9,2017042300100333,2017년 4월 23일 16시,일요일,경기도 오산시 수청동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,자전거,남,11세,부상신고,205424.6353,407204.4538
10,2017042800100190,2017년 4월 28일 09시,금요일,경기도 오산시 고현동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,보행자,남,3세,중상,207230.7926,403893.6558
11,2017050100100170,2017년 5월 1일 11시,월요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,12세,경상,승용,남,47세,상해없음,202891.6297,409672.0747
12,2017050100100363,2017년 5월 1일 16시,월요일,경기도 오산시 원동,중상사고,0,1,3,2,차대차 - 추돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,71세,상해없음,승용,여,49세,중상,206525.938,404762.2885
13,2017050300100317,2017년 5월 3일 15시,수요일,경기도 오산시 청호동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,보행자,남,9세,경상,207625.2196,403462.5613
14,2017050500100117,2017년 5월 5일 08시,금요일,경기도 오산시 금암동,중상사고,0,1,1,5,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,38세,상해없음,승용,남,60세,중상,204498.3003,408337.0191
15,2017050900100212,2017년 5월 9일 12시,화요일,경기도 오산시 갈곶동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,11세,중상,승용,남,36세,상해없음,206488.1409,403581.6211
