사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
169921,2013114,1114015400,111104001,서울 서울중부1,서울특별시 중구 오장동(오장동사거리 부근),4,0,0,3,1,0,127.0039067,37.56470012,"{""type"":""Polygon"",""coordinates"":[[[127.0063079,37.5666114],[127.0059027,37.5668869],[127.0054484,37.5671085],[127.0049561,37.5672708],[127.0044379,37.5673698],[127.0039067,37.5674031],[127.0033755,37.5673698],[127.0028574,37.5672708],[127.0023651,37.5671085],[127.0019108,37.5668869],[127.0015056,37.5666114],[127.0011596,37.5662889],[127.0008812,37.5659272],[127.0006773,37.5655353],[127.0005529,37.5651229],[127.0005111,37.5647001],[127.0005529,37.5642772],[127.0006773,37.5638648],[127.0008813,37.5634729],[127.0011597,37.5631113],[127.0015057,37.5627888],[127.0019109,37.5625133],[127.0023652,37.5622917],[127.0028575,37.5621294],[127.0033756,37.5620304],[127.0039067,37.5619971],[127.0044379,37.5620304],[127.004956,37.5621294],[127.0054483,37.5622917],[127.0059026,37.5625133],[127.0063077,37.5627888],[127.0066538,37.5631113],[127.0069322,37.5634729],[127.0071361,37.5638648],[127.0072605,37.5642772],[127.0073024,37.5647001],[127.0072606,37.5651229],[127.0071362,37.5655353],[127.0069323,37.5659272],[127.0066539,37.5662889],[127.0063079,37.5666114]]]}"
167194,2013114,1114016500,111104002,서울 서울중부2,서울특별시 중구 황학동(신당중앙시장 부근),5,5,0,3,1,1,127.0186247,37.56555784,"{""type"":""Polygon"",""coordinates"":[[[127.0210259,37.5674691],[127.0206207,37.5677446],[127.0201664,37.5679662],[127.0196741,37.5681285],[127.0191559,37.5682275],[127.0186247,37.5682608],[127.0180935,37.5682275],[127.0175754,37.5681285],[127.0170831,37.5679662],[127.0166287,37.5677446],[127.0162236,37.5674691],[127.0158775,37.5671466],[127.0155991,37.5667849],[127.0153952,37.5663931],[127.0152708,37.5659806],[127.0152291,37.5655578],[127.0152709,37.565135],[127.0153953,37.5647225],[127.0155992,37.5643307],[127.0158776,37.563969],[127.0162237,37.5636465],[127.0166289,37.5633711],[127.0170832,37.5631494],[127.0175754,37.5629871],[127.0180935,37.5628881],[127.0186247,37.5628548],[127.0191559,37.5628881],[127.019674,37.5629871],[127.0201663,37.5631494],[127.0206206,37.5633711],[127.0210257,37.5636465],[127.0213718,37.563969],[127.0216502,37.5643307],[127.0218541,37.5647225],[127.0219785,37.565135],[127.0220204,37.5655578],[127.0219786,37.5659806],[127.0218542,37.5663931],[127.0216503,37.5667849],[127.0213719,37.5671466],[127.0210259,37.5674691]]]}"
167581,2013114,1114016200,111104003,서울 서울중부3,서울특별시 중구 신당동(운동장평화시장 부근),8,9,0,7,2,0,127.0142461,37.56798797,"{""type"":""Polygon"",""coordinates"":[[[127.0166473,37.5698992],[127.0162421,37.5701747],[127.0157878,37.5703963],[127.0152955,37.5705587],[127.0147773,37.5706577],[127.0142461,37.570691],[127.0137148,37.5706577],[127.0131967,37.5705587],[127.0127044,37.5703963],[127.01225,37.5701747],[127.0118448,37.5698992],[127.0114988,37.5695767],[127.0112204,37.5692151],[127.0110165,37.5688232],[127.0108921,37.5684108],[127.0108503,37.5679879],[127.0108921,37.5675651],[127.0110165,37.5671527],[127.0112205,37.5667608],[127.0114989,37.5663992],[127.011845,37.5660766],[127.0122501,37.5658012],[127.0127045,37.5655796],[127.0131968,37.5654173],[127.0137149,37.5653183],[127.0142461,37.565285],[127.0147773,37.5653183],[127.0152954,37.5654173],[127.0157877,37.5655796],[127.016242,37.5658012],[127.0166472,37.5660766],[127.0169932,37.5663992],[127.0172717,37.5667608],[127.0174756,37.5671527],[127.0176,37.5675651],[127.0176418,37.5679879],[127.0176001,37.5684108],[127.0174757,37.5688232],[127.0172718,37.5692151],[127.0169934,37.5695767],[127.0166473,37.5698992]]]}"
167209,2013114,1114017100,111105001,서울 서울남대문1,서울특별시 중구 중림동(중림삼거리_청파로_진입 부근),4,4,0,3,0,1,126.9683179,37.55994834,"{""type"":""Polygon"",""coordinates"":[[[126.9707189,37.5618596],[126.9703137,37.5621351],[126.9698594,37.5623567],[126.9693672,37.562519],[126.9688491,37.562618],[126.9683179,37.5626513],[126.9677867,37.562618],[126.9672686,37.562519],[126.9667764,37.5623567],[126.9663221,37.5621351],[126.9659169,37.5618596],[126.9655709,37.5615371],[126.9652925,37.5611754],[126.9650886,37.5607836],[126.9649643,37.5603711],[126.9649225,37.5599483],[126.9649643,37.5595254],[126.9650887,37.559113],[126.9652926,37.5587212],[126.965571,37.5583595],[126.965917,37.558037],[126.9663222,37.5577616],[126.9667764,37.5575399],[126.9672687,37.5573776],[126.9677867,37.5572786],[126.9683179,37.5572453],[126.968849,37.5572786],[126.9693671,37.5573776],[126.9698593,37.5575399],[126.9703136,37.5577616],[126.9707187,37.558037],[126.9710648,37.5583595],[126.9713432,37.5587212],[126.9715471,37.559113],[126.9716715,37.5595254],[126.9717133,37.5599483],[126.9716715,37.5603711],[126.9715471,37.5607836],[126.9713433,37.5611754],[126.9710649,37.5615371],[126.9707189,37.5618596]]]}"
167544,2013114,1114011700,111105002,서울 서울남대문2,서울특별시 중구 남대문로4가(숭례문_남대문로_진입_1 부근),4,4,1,1,2,0,126.97764,37.5610265,"{""type"":""Polygon"",""coordinates"":[[[126.980041,37.5629378],[126.9796359,37.5632132],[126.9791816,37.5634349],[126.9786893,37.5635972],[126.9781712,37.5636962],[126.97764,37.5637295],[126.9771088,37.5636962],[126.9765907,37.5635972],[126.9760985,37.5634349],[126.9756442,37.5632132],[126.975239,37.5629378],[126.974893,37.5626152],[126.9746146,37.5622536],[126.9744107,37.5618617],[126.9742864,37.5614493],[126.9742446,37.5610265],[126.9742864,37.5606036],[126.9744108,37.5601912],[126.9746147,37.5597993],[126.9748931,37.5594377],[126.9752391,37.5591152],[126.9756443,37.5588397],[126.9760986,37.5586181],[126.9765908,37.5584558],[126.9771089,37.5583568],[126.97764,37.5583235],[126.9781712,37.5583568],[126.9786892,37.5584558],[126.9791815,37.5586181],[126.9796358,37.5588397],[126.9800409,37.5591152],[126.980387,37.5594377],[126.9806654,37.5597993],[126.9808693,37.5601912],[126.9809937,37.5606036],[126.9810355,37.5610265],[126.9809937,37.5614493],[126.9808693,37.5618617],[126.9806655,37.5622536],[126.9803871,37.5626152],[126.980041,37.5629378]]]}"
167362,2013114,1111014700,111106001,서울 서울종로1,서울특별시 종로구 재동(현대주택문화센터 부근),8,8,1,7,0,0,126.9882609,37.57753161,"{""type"":""Polygon"",""coordinates"":[[[126.9906625,37.5794429],[126.9902572,37.5797183],[126.9898028,37.57994],[126.9893105,37.5801023],[126.9887922,37.5802013],[126.9882609,37.5802346],[126.9877296,37.5802013],[126.9872114,37.5801023],[126.986719,37.57994],[126.9862646,37.5797183],[126.9858594,37.5794429],[126.9855133,37.5791203],[126.9852348,37.5787587],[126.9850309,37.5783668],[126.9849065,37.5779544],[126.9848647,37.5775316],[126.9849066,37.5771087],[126.985031,37.5766963],[126.9852349,37.5763044],[126.9855134,37.5759428],[126.9858595,37.5756203],[126.9862648,37.5753448],[126.9867191,37.5751232],[126.9872115,37.5749609],[126.9877297,37.5748619],[126.9882609,37.5748286],[126.9887922,37.5748619],[126.9893104,37.5749609],[126.9898027,37.5751232],[126.9902571,37.5753448],[126.9906623,37.5756203],[126.9910085,37.5759428],[126.9912869,37.5763044],[126.9914909,37.5766963],[126.9916153,37.5771087],[126.9916571,37.5775316],[126.9916153,37.5779544],[126.9914909,37.5783668],[126.991287,37.5787587],[126.9910086,37.5791203],[126.9906625,37.5794429]]]}"
167399,2013114,1111017400,111107001,서울 서울혜화1,서울특별시 종로구 창신동(동묘앞역_일반국도6호선_진출 부근),17,19,1,5,5,8,127.0142164,37.57255767,"{""type"":""Polygon"",""coordinates"":[[[127.0166178,37.5744689],[127.0162126,37.5747444],[127.0157582,37.574966],[127.0152658,37.5751284],[127.0147477,37.5752274],[127.0142164,37.5752607],[127.0136851,37.5752274],[127.0131669,37.5751284],[127.0126746,37.574966],[127.0122202,37.5747444],[127.011815,37.5744689],[127.0114689,37.5741464],[127.0111905,37.5737848],[127.0109866,37.5733929],[127.0108622,37.5729805],[127.0108204,37.5725576],[127.0108622,37.5721348],[127.0109867,37.5717224],[127.0111906,37.5713305],[127.011469,37.5709689],[127.0118151,37.5706464],[127.0122203,37.5703709],[127.0126747,37.5701493],[127.013167,37.569987],[127.0136852,37.569888],[127.0142164,37.5698547],[127.0147476,37.569888],[127.0152658,37.569987],[127.0157581,37.5701493],[127.0162124,37.5703709],[127.0166176,37.5706464],[127.0169637,37.5709689],[127.0172422,37.5713305],[127.0174461,37.5717224],[127.0175705,37.5721348],[127.0176124,37.5725576],[127.0175706,37.5729805],[127.0174462,37.5733929],[127.0172423,37.5737848],[127.0169639,37.5741464],[127.0166178,37.5744689]]]}"
167326,2013114,1141011600,111108001,서울 서울서대문1,서울특별시 서대문구 창천동(연세대 부근),11,12,0,6,5,1,126.9369649,37.56010944,"{""type"":""Polygon"",""coordinates"":[[[126.9393659,37.5620207],[126.9389607,37.5622962],[126.9385064,37.5625178],[126.9380142,37.5626801],[126.9374961,37.5627791],[126.9369649,37.5628124],[126.9364337,37.5627791],[126.9359156,37.5626801],[126.9354234,37.5625178],[126.9349691,37.5622962],[126.9345639,37.5620207],[126.9342179,37.5616982],[126.9339395,37.5613365],[126.9337356,37.5609447],[126.9336113,37.5605322],[126.9335695,37.5601094],[126.9336113,37.5596866],[126.9337357,37.5592741],[126.9339396,37.5588823],[126.934218,37.5585206],[126.9345641,37.5581981],[126.9349692,37.5579227],[126.9354235,37.557701],[126.9359157,37.5575387],[126.9364338,37.5574397],[126.9369649,37.5574064],[126.9374961,37.5574397],[126.9380141,37.5575387],[126.9385063,37.557701],[126.9389606,37.5579227],[126.9393658,37.5581981],[126.9397118,37.5585206],[126.9399902,37.5588823],[126.9401941,37.5592741],[126.9403185,37.5596866],[126.9403603,37.5601094],[126.9403185,37.5605322],[126.9401942,37.5609447],[126.9399903,37.5613365],[126.9397119,37.5616982],[126.9393659,37.5620207]]]}"
167121,2013114,1138010700,111109001,서울 서울서부1,서울특별시 은평구 응암동(서운빌딩 부근),7,7,0,2,5,0,126.9249886,37.60098169,"{""type"":""Polygon"",""coordinates"":[[[126.9273908,37.602893],[126.9269855,37.6031684],[126.9265309,37.60339],[126.9260384,37.6035524],[126.92552,37.6036514],[126.9249886,37.6036847],[126.9244571,37.6036514],[126.9239387,37.6035524],[126.9234462,37.60339],[126.9229916,37.6031684],[126.9225863,37.602893],[126.92224,37.6025704],[126.9219615,37.6022088],[126.9217575,37.6018169],[126.9216331,37.6014045],[126.9215913,37.6009816],[126.9216331,37.6005588],[126.9217576,37.6001464],[126.9219616,37.5997545],[126.9222402,37.5993929],[126.9225864,37.5990704],[126.9229917,37.5987949],[126.9234463,37.5985733],[126.9239388,37.598411],[126.9244571,37.598312],[126.9249886,37.5982787],[126.92552,37.598312],[126.9260383,37.598411],[126.9265308,37.5985733],[126.9269854,37.5987949],[126.9273907,37.5990704],[126.9277369,37.5993929],[126.9280155,37.5997545],[126.9282195,37.6001464],[126.928344,37.6005588],[126.9283858,37.6009816],[126.928344,37.6014045],[126.9282196,37.6018169],[126.9280156,37.6022088],[126.9277371,37.6025704],[126.9273908,37.602893]]]}"
167146,2013114,1138010900,111109002,서울 서울서부2,서울특별시 은평구 신사동(신사사거리 부근),8,8,0,2,5,1,126.9093246,37.5962444,"{""type"":""Polygon"",""coordinates"":[[[126.9117267,37.5981557],[126.9113213,37.5984311],[126.9108668,37.5986528],[126.9103743,37.5988151],[126.909856,37.5989141],[126.9093246,37.5989474],[126.9087931,37.5989141],[126.9082748,37.5988151],[126.9077823,37.5986528],[126.9073278,37.5984311],[126.9069224,37.5981557],[126.9065762,37.5978331],[126.9062977,37.5974715],[126.9060937,37.5970796],[126.9059693,37.5966672],[126.9059275,37.5962444],[126.9059693,37.5958215],[126.9060938,37.5954091],[126.9062978,37.5950172],[126.9065763,37.5946556],[126.9069225,37.5943331],[126.9073279,37.5940576],[126.9077824,37.593836],[126.9082748,37.5936737],[126.9087932,37.5935747],[126.9093246,37.5935414],[126.909856,37.5935747],[126.9103743,37.5936737],[126.9108667,37.593836],[126.9113212,37.5940576],[126.9117266,37.5943331],[126.9120728,37.5946556],[126.9123513,37.5950172],[126.9125553,37.5954091],[126.9126798,37.5958215],[126.9127216,37.5962444],[126.9126798,37.5966672],[126.9125554,37.5970796],[126.9123514,37.5974715],[126.9120729,37.5978331],[126.9117267,37.5981557]]]}"
