연도,대상사고 구분명,법정동코드,사고건수,사고건수 구성비,사망자수,사망자수 구성비,치사율,부상자수,부상자수 구성비
2012,어린이사고,1101,37,0.3,0,0,0,60,0.39
2012,노인사고,1101,144,0.51,4,0.21,2.78,149,0.5
2012,보행자사고,1101,405,0.79,9,0.44,2.22,412,0.8
2012,자전거사고,1101,53,0.41,0,0,0,55,0.42
2012,야간사고,1101,677,0.63,6,0.21,0.89,1015,0.61
2012,어린이사고,1102,28,0.22,0,0,0,36,0.23
2012,노인사고,1102,143,0.51,5,0.27,3.5,143,0.48
2012,보행자사고,1102,383,0.75,8,0.39,2.09,392,0.76
2012,자전거사고,1102,30,0.23,0,0,0,31,0.24
2012,야간사고,1102,699,0.65,9,0.32,1.29,1030,0.62
2012,어린이사고,1103,32,0.26,0,0,0,37,0.24
2012,노인사고,1103,119,0.42,2,0.11,1.68,121,0.41
2012,보행자사고,1103,267,0.52,6,0.3,2.25,274,0.53
2012,자전거사고,1103,51,0.4,0,0,0,53,0.4
2012,야간사고,1103,593,0.55,6,0.21,1.01,940,0.57
2012,어린이사고,1104,27,0.22,0,0,0,31,0.2
2012,노인사고,1104,106,0.38,0,0,0,111,0.37
2012,보행자사고,1104,215,0.42,4,0.2,1.86,223,0.43
2012,자전거사고,1104,91,0.7,0,0,0,101,0.77
2012,야간사고,1104,483,0.45,6,0.21,1.24,717,0.43
2012,어린이사고,1105,50,0.4,0,0,0,55,0.36
2012,노인사고,1105,248,0.88,5,0.27,2.02,253,0.85
2012,보행자사고,1105,510,1,10,0.49,1.96,526,1.02
2012,자전거사고,1105,184,1.43,4,1.38,2.17,187,1.42
2012,야간사고,1105,889,0.83,9,0.32,1.01,1227,0.74
2012,어린이사고,1106,81,0.65,0,0,0,92,0.59
2012,노인사고,1106,182,0.65,6,0.32,3.3,185,0.62
2012,보행자사고,1106,475,0.93,8,0.39,1.68,488,0.94
2012,자전거사고,1106,111,0.86,1,0.35,0.9,115,0.88
2012,야간사고,1106,758,0.71,6,0.21,0.79,1015,0.61
2012,어린이사고,1107,53,0.42,1,1.2,1.89,54,0.35
2012,노인사고,1107,122,0.43,5,0.27,4.1,125,0.42
2012,보행자사고,1107,328,0.64,10,0.49,3.05,327,0.63
2012,자전거사고,1107,125,0.97,2,0.69,1.6,124,0.94
2012,야간사고,1107,483,0.45,5,0.18,1.04,662,0.4
2012,어린이사고,1108,84,0.67,0,0,0,100,0.65
2012,노인사고,1108,221,0.78,10,0.54,4.52,228,0.77
