사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
104688,2020058,1111017500,11110001  ,서울특별시 종로구1,서울특별시 종로구 숭인동(동묘앞역 부근),43,53,0,19,27,7,127.0156436,37.57302201,"{""type"":""Polygon"",""coordinates"":[[[127.01677596,37.57302665],[127.01677115,37.57310519],[127.01675775,37.57318309],[127.01673587,37.57325977],[127.01670568,37.57333464],[127.01666741,37.57340713],[127.01662134,37.57347669],[127.01656783,37.57354279],[127.01650728,37.57360492],[127.01644017,37.57366262],[127.01636699,37.57371545],[127.0162883,37.57376299],[127.01620471,37.5738049],[127.01611685,37.57384085],[127.01602538,37.57387056],[127.01593101,37.57389382],[127.01583445,37.57391045],[127.01573644,37.57392031],[127.01563772,37.57392333],[127.01553904,37.5739195],[127.01544116,37.57390883],[127.01534482,37.57389142],[127.01525076,37.57386739],[127.01515968,37.57383692],[127.01507229,37.57380025],[127.01498924,37.57375766],[127.01491117,37.57370947],[127.01483868,37.57365605],[127.01477232,37.57359781],[127.01471258,37.57353518],[127.01465993,37.57346864],[127.01461477,37.57339871],[127.01457743,37.57332591],[127.01454821,37.57325079],[127.01452733,37.57317394],[127.01451494,37.57309593],[127.01451114,37.57301736],[127.01451596,37.57293882],[127.01452936,37.57286091],[127.01455124,37.57278424],[127.01458143,37.57270937],[127.01461971,37.57263688],[127.01466578,37.57256732],[127.01471929,37.57250122],[127.01477983,37.57243909],[127.01484695,37.57238139],[127.01492013,37.57232857],[127.01499882,37.57228102],[127.01508241,37.57223912],[127.01517027,37.57220317],[127.01526174,37.57217345],[127.01535611,37.57215019],[127.01545266,37.57213357],[127.01555067,37.57212371],[127.01564939,37.57212068],[127.01574806,37.57212452],[127.01584594,37.57213518],[127.01594228,37.5721526],[127.01603634,37.57217663],[127.01612742,37.57220709],[127.01621481,37.57224376],[127.01629785,37.57228635],[127.01637592,37.57233454],[127.01644841,37.57238796],[127.01651478,37.5724462],[127.01657451,37.57250883],[127.01662716,37.57257537],[127.01667233,37.5726453],[127.01670966,37.5727181],[127.01673889,37.57279321],[127.01675977,37.57287007],[127.01677216,37.57294808],[127.01677596,37.57302665]]]}"
104683,2020058,1111017400,11110002  ,서울특별시 종로구2,서울특별시 종로구 창신동(오간수교남단 부근),28,33,0,6,16,11,127.009633,37.56946748,"{""type"":""Polygon"",""coordinates"":[[[127.01076533,37.56947218],[127.01076051,37.56955071],[127.0107471,37.56962862],[127.01072522,37.5697053],[127.01069502,37.56978016],[127.01065675,37.56985265],[127.01061068,37.56992221],[127.01055716,37.56998831],[127.01049662,37.57005044],[127.0104295,37.57010813],[127.01035632,37.57016095],[127.01027763,37.5702085],[127.01019404,37.5702504],[127.01010618,37.57028634],[127.01001471,37.57031605],[127.00992034,37.57033931],[127.00982379,37.57035593],[127.00972578,37.57036578],[127.00962706,37.5703688],[127.00952839,37.57036496],[127.00943052,37.57035429],[127.00933419,37.57033687],[127.00924013,37.57031284],[127.00914906,37.57028237],[127.00906167,37.57024569],[127.00897863,37.5702031],[127.00890058,37.57015491],[127.00882809,37.57010148],[127.00876173,37.57004323],[127.008702,37.5699806],[127.00864936,37.56991406],[127.00860421,37.56984413],[127.00856688,37.56977132],[127.00853767,37.56969621],[127.00851679,37.56961936],[127.00850441,37.56954134],[127.00850062,37.56946277],[127.00850544,37.56938423],[127.00851885,37.56930633],[127.00854073,37.56922965],[127.00857093,37.56915478],[127.00860921,37.5690823],[127.00865528,37.56901274],[127.0087088,37.56894664],[127.00876934,37.56888451],[127.00883646,37.56882682],[127.00890964,37.568774],[127.00898833,37.56872646],[127.00907192,37.56868456],[127.00915978,37.56864861],[127.00925124,37.5686189],[127.00934561,37.56859565],[127.00944216,37.56857903],[127.00954017,37.56856918],[127.00963888,37.56856616],[127.00973755,37.56857],[127.00983542,37.56858067],[127.00993175,37.56859809],[127.01002581,37.56862212],[127.01011688,37.56865259],[127.01020426,37.56868926],[127.0102873,37.56873185],[127.01036536,37.56878005],[127.01043784,37.56883347],[127.0105042,37.56889172],[127.01056393,37.56895435],[127.01061657,37.56902089],[127.01066173,37.56909082],[127.01069906,37.56916362],[127.01072827,37.56923874],[127.01074915,37.56931559],[127.01076154,37.5693936],[127.01076533,37.56947218]]]}"
104684,2020058,1111016400,11110003  ,서울특별시 종로구3,서울특별시 종로구 종로6가(동대문로터리 부근),25,28,0,6,13,9,127.0087369,37.5713096,"{""type"":""Polygon"",""coordinates"":[[[127.00986931,37.57131431],[127.00986449,37.57139285],[127.00985108,37.57147075],[127.0098292,37.57154743],[127.009799,37.57162229],[127.00976072,37.57169478],[127.00971465,37.57176434],[127.00966113,37.57183044],[127.00960058,37.57189257],[127.00953346,37.57195026],[127.00946028,37.57200308],[127.00938159,37.57205062],[127.009298,37.57209252],[127.00921013,37.57212847],[127.00911867,37.57215818],[127.00902429,37.57218143],[127.00892774,37.57219805],[127.00882972,37.5722079],[127.00873101,37.57221092],[127.00863233,37.57220708],[127.00853446,37.57219641],[127.00843812,37.57217899],[127.00834406,37.57215495],[127.00825299,37.57212448],[127.0081656,37.57208781],[127.00808256,37.57204522],[127.0080045,37.57199702],[127.00793202,37.5719436],[127.00786566,37.57188535],[127.00780593,37.57182271],[127.00775329,37.57175618],[127.00770813,37.57168624],[127.0076708,37.57161344],[127.00764159,37.57153832],[127.00762072,37.57146147],[127.00760833,37.57138346],[127.00760454,37.57130488],[127.00760937,37.57122635],[127.00762278,37.57114844],[127.00764466,37.57107176],[127.00767486,37.5709969],[127.00771315,37.57092441],[127.00775922,37.57085485],[127.00781273,37.57078876],[127.00787328,37.57072663],[127.0079404,37.57066893],[127.00801359,37.57061612],[127.00809227,37.57056858],[127.00817587,37.57052668],[127.00826373,37.57049073],[127.0083552,37.57046102],[127.00844957,37.57043777],[127.00854612,37.57042115],[127.00864413,37.5704113],[127.00874285,37.57040828],[127.00884152,37.57041212],[127.00893939,37.57042279],[127.00903572,37.57044021],[127.00912978,37.57046425],[127.00922085,37.57049472],[127.00930824,37.57053139],[127.00939128,37.57057398],[127.00946934,37.57062217],[127.00954182,37.5706756],[127.00960818,37.57073385],[127.00966791,37.57079648],[127.00972055,37.57086302],[127.00976571,37.57093295],[127.00980304,37.57100575],[127.00983226,37.57108087],[127.00985313,37.57115772],[127.00986552,37.57123573],[127.00986931,37.57131431]]]}"
104573,2020058,1111016500,11110004  ,서울특별시 종로구4,서울특별시 종로구 이화동(이화사거리 부근),24,24,0,9,12,3,127.0021885,37.57617605,"{""type"":""Polygon"",""coordinates"":[[[127.00332095,37.57618082],[127.00331612,37.57625936],[127.00330271,37.57633726],[127.00328082,37.57641393],[127.00325061,37.5764888],[127.00321232,37.57656129],[127.00316624,37.57663084],[127.00311272,37.57669693],[127.00305216,37.57675906],[127.00298503,37.57681675],[127.00291184,37.57686957],[127.00283314,37.5769171],[127.00274953,37.576959],[127.00266166,37.57699494],[127.00257018,37.57702465],[127.0024758,37.57704789],[127.00237924,37.57706451],[127.00228122,37.57707436],[127.0021825,37.57707737],[127.00208382,37.57707352],[127.00198593,37.57706285],[127.00188959,37.57704542],[127.00179553,37.57702138],[127.00170446,37.5769909],[127.00161706,37.57695423],[127.00153402,37.57691163],[127.00145596,37.57686343],[127.00138348,37.57681],[127.00131712,37.57675174],[127.00125739,37.57668911],[127.00120475,37.57662257],[127.0011596,37.57655263],[127.00112228,37.57647983],[127.00109307,37.57640471],[127.0010722,37.57632785],[127.00105982,37.57624984],[127.00105604,37.57617127],[127.00106087,37.57609273],[127.00107429,37.57601483],[127.00109618,37.57593815],[127.00112639,37.57586329],[127.00116468,37.5757908],[127.00121077,37.57572125],[127.00126429,37.57565516],[127.00132485,37.57559303],[127.00139198,37.57553534],[127.00146517,37.57548252],[127.00154387,37.57543499],[127.00162747,37.57539309],[127.00171534,37.57535715],[127.00180682,37.57532745],[127.00190119,37.5753042],[127.00199776,37.57528759],[127.00209577,37.57527774],[127.0021945,37.57527473],[127.00229317,37.57527857],[127.00239105,37.57528925],[127.00248739,37.57530667],[127.00258145,37.57533072],[127.00267253,37.57536119],[127.00275991,37.57539787],[127.00284295,37.57544047],[127.00292102,37.57548866],[127.0029935,37.57554209],[127.00305986,37.57560034],[127.00311959,37.57566298],[127.00317223,37.57572952],[127.00321738,37.57579946],[127.00325471,37.57587226],[127.00328392,37.57594738],[127.00330479,37.57602423],[127.00331717,37.57610224],[127.00332095,37.57618082]]]}"
104773,2020058,1111016100,11110005  ,서울특별시 종로구5,서울특별시 종로구 종로4가(종로4가일반국도6호선 부근),21,31,0,12,16,3,126.9972981,37.57082837,"{""type"":""Polygon"",""coordinates"":[[[126.99843049,37.57083318],[126.99842566,37.57091172],[126.99841224,37.57098962],[126.99839034,37.5710663],[126.99836013,37.57114116],[126.99832184,37.57121365],[126.99827576,37.5712832],[126.99822224,37.57134929],[126.99816168,37.57141142],[126.99809455,37.5714691],[126.99802136,37.57152192],[126.99794266,37.57156945],[126.99785906,37.57161134],[126.99777119,37.57164728],[126.99767972,37.57167698],[126.99758535,37.57170022],[126.99748879,37.57171683],[126.99739078,37.57172668],[126.99729206,37.57172969],[126.99719339,37.57172584],[126.99709551,37.57171516],[126.99699918,37.57169773],[126.99690512,37.57167368],[126.99681406,37.5716432],[126.99672668,37.57160652],[126.99664364,37.57156392],[126.99656559,37.57151572],[126.99649312,37.57146228],[126.99642677,37.57140403],[126.99636705,37.57134139],[126.99631442,37.57127485],[126.99626927,37.57120491],[126.99623195,37.5711321],[126.99620275,37.57105698],[126.99618189,37.57098012],[126.99616952,37.57090211],[126.99616574,37.57082354],[126.99617058,37.570745],[126.996184,37.5706671],[126.9962059,37.57059042],[126.99623611,37.57051556],[126.9962744,37.57044308],[126.99632049,37.57037353],[126.99637401,37.57030744],[126.99643457,37.57024531],[126.9965017,37.57018762],[126.99657489,37.57013481],[126.99665358,37.57008728],[126.99673718,37.57004539],[126.99682505,37.57000945],[126.99691652,37.56997975],[126.99701089,37.56995651],[126.99710745,37.5699399],[126.99720546,37.56993005],[126.99730417,37.56992705],[126.99740284,37.56993089],[126.99750071,37.56994158],[126.99759704,37.569959],[126.9976911,37.56998305],[126.99778216,37.57001353],[126.99786954,37.57005021],[126.99795258,37.57009281],[126.99803063,37.57014101],[126.9981031,37.57019444],[126.99816945,37.5702527],[126.99822917,37.57031534],[126.99828181,37.57038188],[126.99832695,37.57045182],[126.99836427,37.57052462],[126.99839347,37.57059974],[126.99841434,37.5706766],[126.99842671,37.57075461],[126.99843049,37.57083318]]]}"
104685,2020058,1111013800,11110006  ,서울특별시 종로구6,서울특별시 종로구 종로2가(종로2가 부근),21,24,0,5,16,3,126.9874886,37.57008041,"{""type"":""Polygon"",""coordinates"":[[[126.98862093,37.57008532],[126.98861609,37.57016386],[126.98860266,37.57024176],[126.98858075,37.57031843],[126.98855053,37.5703933],[126.98851223,37.57046578],[126.98846614,37.57053533],[126.98841261,37.57060141],[126.98835205,37.57066353],[126.98828491,37.57072122],[126.98821171,37.57077402],[126.98813301,37.57082155],[126.98804941,37.57086344],[126.98796153,37.57089936],[126.98787006,37.57092906],[126.98777568,37.57095229],[126.98767912,37.57096889],[126.98758111,37.57097873],[126.98748239,37.57098173],[126.98738372,37.57097787],[126.98728585,37.57096719],[126.98718952,37.57094975],[126.98709547,37.57092569],[126.98700441,37.57089521],[126.98691703,37.57085852],[126.98683401,37.57081591],[126.98675596,37.5707677],[126.98668349,37.57071426],[126.98661715,37.570656],[126.98655744,37.57059336],[126.98650482,37.57052681],[126.98645969,37.57045687],[126.98642238,37.57038406],[126.98639319,37.57030894],[126.98637234,37.57023208],[126.98635998,37.57015407],[126.98635621,37.57007549],[126.98636106,37.56999695],[126.98637449,37.56991905],[126.98639639,37.56984238],[126.98642661,37.56976752],[126.98646492,37.56969504],[126.98651101,37.56962549],[126.98656454,37.56955941],[126.98662511,37.56949729],[126.98669224,37.5694396],[126.98676544,37.5693868],[126.98684414,37.56933927],[126.98692774,37.56929739],[126.98701562,37.56926146],[126.98710709,37.56923177],[126.98720146,37.56920853],[126.98729802,37.56919193],[126.98739603,37.56918209],[126.98749475,37.56917909],[126.98759341,37.56918295],[126.98769128,37.56919364],[126.98778761,37.56921108],[126.98788166,37.56923513],[126.98797272,37.56926562],[126.98806009,37.5693023],[126.98814312,37.56934491],[126.98822116,37.56939312],[126.98829363,37.56944656],[126.98835997,37.56950482],[126.98841968,37.56956746],[126.98847231,37.56963401],[126.98851744,37.56970395],[126.98855475,37.56977676],[126.98858394,37.56985188],[126.9886048,37.56992874],[126.98861716,37.57000675],[126.98862093,37.57008532]]]}"
104686,2020058,1111016900,11110007  ,서울특별시 종로구7,서울특별시 종로구 혜화동(혜화동창경궁로진출1 부근),20,23,1,9,10,3,127.0010516,37.58532717,"{""type"":""Polygon"",""coordinates"":[[[127.00218418,37.58533195],[127.00217935,37.58541049],[127.00216594,37.58548839],[127.00214404,37.58556507],[127.00211383,37.58563993],[127.00207553,37.58571242],[127.00202944,37.58578197],[127.00197591,37.58584806],[127.00191535,37.58591019],[127.00184821,37.58596788],[127.00177501,37.5860207],[127.0016963,37.58606823],[127.00161268,37.58611013],[127.0015248,37.58614607],[127.00143331,37.58617577],[127.00133892,37.58619902],[127.00124234,37.58621563],[127.00114431,37.58622548],[127.00104557,37.58622849],[127.00094688,37.58622464],[127.00084899,37.58621397],[127.00075264,37.58619654],[127.00065856,37.5861725],[127.00056747,37.58614202],[127.00048008,37.58610534],[127.00039702,37.58606274],[127.00031895,37.58601454],[127.00024646,37.58596111],[127.0001801,37.58590286],[127.00012036,37.58584022],[127.00006772,37.58577368],[127.00002256,37.58570374],[126.99998523,37.58563094],[126.99995602,37.58555582],[126.99993515,37.58547896],[126.99992278,37.58540095],[126.99991899,37.58532238],[126.99992383,37.58524384],[126.99993725,37.58516594],[126.99995915,37.58508926],[126.99998936,37.5850144],[127.00002766,37.58494191],[127.00007375,37.58487236],[127.00012728,37.58480627],[127.00018784,37.58474414],[127.00025498,37.58468645],[127.00032819,37.58463364],[127.00040689,37.58458611],[127.00049051,37.58454421],[127.00057839,37.58450827],[127.00066988,37.58447857],[127.00076427,37.58445532],[127.00086084,37.58443871],[127.00095887,37.58442886],[127.0010576,37.58442585],[127.00115629,37.5844297],[127.00125418,37.58444038],[127.00135053,37.5844578],[127.00144461,37.58448184],[127.00153569,37.58451232],[127.00162309,37.584549],[127.00170614,37.5845916],[127.00178421,37.5846398],[127.0018567,37.58469322],[127.00192307,37.58475148],[127.0019828,37.58481411],[127.00203545,37.58488065],[127.00208061,37.58495059],[127.00211793,37.5850234],[127.00214715,37.58509851],[127.00216802,37.58517537],[127.0021804,37.58525338],[127.00218418,37.58533195]]]}"
104687,2020058,1111011700,11110008  ,서울특별시 종로구8,서울특별시 종로구 당주동(경복궁역 부근),19,21,0,4,16,1,126.9724004,37.57599466,"{""type"":""Polygon"",""coordinates"":[[[126.97353282,37.57599971],[126.97352796,37.57607825],[126.97351452,37.57615615],[126.97349259,37.57623282],[126.97346236,37.57630768],[126.97342404,37.57638015],[126.97337793,37.57644969],[126.97332438,37.57651577],[126.9732638,37.57657789],[126.97319665,37.57663556],[126.97312343,37.57668836],[126.97304472,37.57673587],[126.9729611,37.57677775],[126.97287321,37.57681367],[126.97278172,37.57684335],[126.97268733,37.57686657],[126.97259076,37.57688316],[126.97249274,37.57689298],[126.97239402,37.57689597],[126.97229534,37.5768921],[126.97219746,37.5768814],[126.97210113,37.57686395],[126.97200707,37.57683989],[126.97191601,37.57680939],[126.97182864,37.57677269],[126.97174561,37.57673007],[126.97166757,37.57668185],[126.97159511,37.5766284],[126.97152877,37.57657013],[126.97146907,37.57650748],[126.97141646,37.57644093],[126.97137133,37.57637098],[126.97133404,37.57629816],[126.97130486,37.57622304],[126.97128402,37.57614618],[126.97127168,37.57606816],[126.97126793,37.57598959],[126.97127279,37.57591105],[126.97128624,37.57583315],[126.97130816,37.57575648],[126.9713384,37.57568163],[126.97137672,37.57560915],[126.97142283,37.57553961],[126.97147638,37.57547353],[126.97153696,37.57541142],[126.97160412,37.57535375],[126.97167733,37.57530095],[126.97175604,37.57525344],[126.97183966,37.57521156],[126.97192755,37.57517565],[126.97201903,37.57514596],[126.97211342,37.57512274],[126.97220999,37.57510615],[126.97230801,37.57509633],[126.97240673,37.57509334],[126.97250541,37.57509721],[126.97260328,37.57510791],[126.97269961,37.57512536],[126.97279367,37.57514943],[126.97288473,37.57517992],[126.9729721,37.57521662],[126.97305512,37.57525924],[126.97313316,37.57530746],[126.97320563,37.57536091],[126.97327196,37.57541917],[126.97333166,37.57548182],[126.97338428,37.57554838],[126.9734294,37.57561833],[126.9734667,37.57569114],[126.97349588,37.57576626],[126.97351672,37.57584312],[126.97352907,37.57592114],[126.97353282,37.57599971]]]}"
104256,2020058,1111017500,11110009  ,서울특별시 종로구9,서울특별시 종로구 숭인동(황학교북단난계로진 부근),18,19,0,9,9,1,127.0228316,37.57297138,"{""type"":""Polygon"",""coordinates"":[[[127.02396399,37.57297595],[127.02395918,37.57305449],[127.02394579,37.57313239],[127.02392392,37.57320907],[127.02389374,37.57328395],[127.02385547,37.57335644],[127.02380941,37.573426],[127.02375591,37.5734921],[127.02369537,37.57355424],[127.02362826,37.57361195],[127.02355508,37.57366477],[127.0234764,37.57371232],[127.02339281,37.57375424],[127.02330495,37.57379019],[127.02321349,37.57381991],[127.02311912,37.57384318],[127.02302256,37.5738598],[127.02292455,37.57386967],[127.02282583,37.5738727],[127.02272715,37.57386887],[127.02262927,37.57385822],[127.02253293,37.57384081],[127.02243886,37.57381678],[127.02234779,37.57378632],[127.02226039,37.57374966],[127.02217734,37.57370707],[127.02209927,37.57365889],[127.02202677,37.57360547],[127.0219604,37.57354723],[127.02190066,37.5734846],[127.021848,37.57341807],[127.02180283,37.57334814],[127.02176549,37.57327534],[127.02173626,37.57320023],[127.02171537,37.57312338],[127.02170297,37.57304537],[127.02169917,37.5729668],[127.02170398,37.57288826],[127.02171737,37.57281035],[127.02173925,37.57273367],[127.02176943,37.5726588],[127.0218077,37.57258631],[127.02185376,37.57251675],[127.02190727,37.57245065],[127.02196781,37.57238851],[127.02203492,37.57233081],[127.02210809,37.57227798],[127.02218677,37.57223043],[127.02227036,37.57218852],[127.02235822,37.57215257],[127.02244968,37.57212284],[127.02254405,37.57209958],[127.0226406,37.57208295],[127.02273861,37.57207309],[127.02283733,37.57207005],[127.022936,37.57207388],[127.02303388,37.57208454],[127.02313022,37.57210195],[127.02322429,37.57212598],[127.02331536,37.57215643],[127.02340276,37.5721931],[127.02348581,37.57223568],[127.02356388,37.57228386],[127.02363638,37.57233728],[127.02370275,37.57239552],[127.02376249,37.57245815],[127.02381515,37.57252468],[127.02386032,37.57259461],[127.02389766,37.5726674],[127.02392689,37.57274252],[127.02394779,37.57281937],[127.02396018,37.57289738],[127.02396399,37.57297595]]]}"
104689,2020058,1111017400,11110010  ,서울특별시 종로구10,서울특별시 종로구 창신동(동대문로터리흥인지문 부근),17,18,1,4,8,5,127.0113622,37.57182801,"{""type"":""Polygon"",""coordinates"":[[[127.01249462,37.57183269],[127.0124898,37.57191123],[127.0124764,37.57198913],[127.01245452,37.57206581],[127.01242432,37.57214068],[127.01238604,37.57221317],[127.01233997,37.57228273],[127.01228646,37.57234882],[127.01222591,37.57241096],[127.0121588,37.57246865],[127.01208561,37.57252147],[127.01200693,37.57256902],[127.01192333,37.57261092],[127.01183547,37.57264687],[127.011744,37.57267658],[127.01164963,37.57269983],[127.01155307,37.57271645],[127.01145506,37.57272631],[127.01135634,37.57272933],[127.01125767,37.57272549],[127.01115979,37.57271483],[127.01106345,37.57269741],[127.01096939,37.57267337],[127.01087832,37.5726429],[127.01079093,37.57260623],[127.01070789,37.57256364],[127.01062982,37.57251545],[127.01055734,37.57246202],[127.01049097,37.57240378],[127.01043124,37.57234114],[127.0103786,37.57227461],[127.01033344,37.57220467],[127.01029611,37.57213187],[127.01026689,37.57205676],[127.01024601,37.5719799],[127.01023363,37.57190189],[127.01022984,37.57182332],[127.01023466,37.57174478],[127.01024806,37.57166688],[127.01026995,37.5715902],[127.01030015,37.57151533],[127.01033843,37.57144284],[127.0103845,37.57137329],[127.01043801,37.57130719],[127.01049856,37.57124506],[127.01056568,37.57118736],[127.01063886,37.57113454],[127.01071755,37.571087],[127.01080114,37.5710451],[127.010889,37.57100915],[127.01098047,37.57097944],[127.01107484,37.57095619],[127.01117139,37.57093957],[127.0112694,37.57092971],[127.01136812,37.57092669],[127.01146679,37.57093053],[127.01156466,37.57094119],[127.011661,37.57095861],[127.01175506,37.57098265],[127.01184613,37.57101311],[127.01193352,37.57104978],[127.01201656,37.57109238],[127.01209462,37.57114057],[127.01216711,37.57119399],[127.01223347,37.57125224],[127.0122932,37.57131487],[127.01234585,37.5713814],[127.01239101,37.57145134],[127.01242834,37.57152414],[127.01245756,37.57159925],[127.01247844,37.57167611],[127.01249083,37.57175412],[127.01249462,37.57183269]]]}"
