사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6422432,2018040,1111017400,11110001  ,서울특별시 종로구1,서울특별시 종로구 창신동(동묘앞역 부근),5,6,0,4,1,1,127.0155896,37.57210363,"{""type"":""Polygon"",""coordinates"":[[[127.01828452,37.57210363],[127.01823274,37.57168692],[127.01807938,37.57128622],[127.01783034,37.57091694],[127.01749519,37.57059325],[127.01708681,37.57032761],[127.01662089,37.57013022],[127.01611534,37.57000867],[127.01558958,37.56996762],[127.01506382,37.57000867],[127.01455827,37.57013022],[127.01409235,37.57032761],[127.01368396,37.57059325],[127.01334881,37.57091694],[127.01309977,37.57128622],[127.01294641,37.57168692],[127.01289463,37.57210363],[127.01294641,37.57252034],[127.01309977,37.57292103],[127.01334881,37.57329031],[127.01368396,37.57361398],[127.01409235,37.57387961],[127.01455827,37.57407699],[127.01506382,37.57419854],[127.01558958,37.57423958],[127.01611534,37.57419854],[127.01662089,37.57407699],[127.01708681,37.57387961],[127.01749519,37.57361398],[127.01783034,37.57329031],[127.01807938,37.57292103],[127.01823274,37.57252034],[127.01828452,37.57210363]]]}"
6422496,2018040,1111018000,11110002  ,서울특별시 종로구2,서울특별시 종로구 교북동(현저고가차도동측 부근),5,13,0,3,6,4,126.9630998,37.57235429,"{""type"":""Polygon"",""coordinates"":[[[126.96579474,37.57235429],[126.96574295,37.57193758],[126.9655896,37.57153688],[126.96534056,37.5711676],[126.96500541,37.57084391],[126.96459702,37.57057827],[126.9641311,37.57038088],[126.96362555,37.57025933],[126.96309979,37.57021829],[126.96257403,37.57025933],[126.96206848,37.57038088],[126.96160256,37.57057827],[126.96119418,37.57084391],[126.96085903,37.5711676],[126.96060999,37.57153688],[126.96045663,37.57193758],[126.96040485,37.57235429],[126.96045663,37.57277099],[126.96060999,37.57317168],[126.96085903,37.57354096],[126.96119418,37.57386463],[126.96160256,37.57413026],[126.96206848,37.57432764],[126.96257403,37.57444919],[126.96309979,37.57449023],[126.96362555,37.57444919],[126.9641311,37.57432764],[126.96459702,37.57413026],[126.96500541,37.57386463],[126.96534056,37.57354096],[126.9655896,37.57317168],[126.96574295,37.57277099],[126.96579474,37.57235429]]]}"
6422419,2018040,1111017200,11110003  ,서울특별시 종로구3,서울특별시 종로구 명륜4가(서울대학교병원 부근),3,8,0,2,4,2,126.9964625,37.58056836,"{""type"":""Polygon"",""coordinates"":[[[126.99915744,37.58056836],[126.99910566,37.58015169],[126.9989523,37.57975104],[126.99870326,37.57938179],[126.99836811,37.57905815],[126.99795973,37.57879254],[126.99749381,37.57859517],[126.99698826,37.57847363],[126.9964625,37.57843259],[126.99593674,37.57847363],[126.99543119,37.57859517],[126.99496527,37.57879254],[126.99455688,37.57905815],[126.99422173,37.57938179],[126.99397269,37.57975104],[126.99381934,37.58015169],[126.99376755,37.58056836],[126.99381934,37.58098502],[126.99397269,37.58138566],[126.99422173,37.5817549],[126.99455688,37.58207853],[126.99496527,37.58234413],[126.99543119,37.58254149],[126.99593674,37.58266302],[126.9964625,37.58270406],[126.99698826,37.58266302],[126.99749381,37.58254149],[126.99795973,37.58234413],[126.99836811,37.58207853],[126.99870326,37.5817549],[126.9989523,37.58138566],[126.99910566,37.58098502],[126.99915744,37.58056836]]]}"
6421493,2018040,1111018300,11110004  ,서울특별시 종로구4,서울특별시 종로구 평창동(북악팔각정 부근),3,8,0,0,8,0,126.9790133,37.6014989,"{""type"":""Polygon"",""coordinates"":[[[126.98170824,37.6014989],[126.98165646,37.60108236],[126.9815031,37.60068182],[126.98125406,37.60031268],[126.98091891,37.59998912],[126.98051053,37.59972358],[126.98004461,37.59952627],[126.97953906,37.59940477],[126.9790133,37.59936374],[126.97848754,37.59940477],[126.97798199,37.59952627],[126.97751607,37.59972358],[126.97710768,37.59998912],[126.97677253,37.60031268],[126.97652349,37.60068182],[126.97637014,37.60108236],[126.97631835,37.6014989],[126.97637014,37.60191545],[126.97652349,37.60231598],[126.97677253,37.60268511],[126.97710768,37.60300866],[126.97751607,37.60327418],[126.97798199,37.60347148],[126.97848754,37.60359298],[126.9790133,37.60363401],[126.97953906,37.60359298],[126.98004461,37.60347148],[126.98051053,37.60327418],[126.98091891,37.60300866],[126.98125406,37.60268511],[126.9815031,37.60231598],[126.98165646,37.60191545],[126.98170824,37.6014989]]]}"
6422061,2018040,1111017300,11110005  ,서울특별시 종로구5,서울특별시 종로구 명륜3가(명륜파출소 부근),3,3,0,0,3,0,126.9966958,37.58628388,"{""type"":""Polygon"",""coordinates"":[[[126.99939078,37.58628388],[126.999339,37.58586725],[126.99918564,37.58546662],[126.9989366,37.58509741],[126.99860145,37.58477378],[126.99819307,37.58450819],[126.99772715,37.58431084],[126.99722159,37.58418931],[126.99669583,37.58414828],[126.99617008,37.58418931],[126.99566452,37.58431084],[126.9951986,37.58450819],[126.99479022,37.58477378],[126.99445507,37.58509741],[126.99420603,37.58546662],[126.99405267,37.58586725],[126.99400089,37.58628388],[126.99405267,37.58670051],[126.99420603,37.58710112],[126.99445507,37.58747033],[126.99479022,37.58779394],[126.9951986,37.58805952],[126.99566452,37.58825686],[126.99617008,37.58837838],[126.99669583,37.58841942],[126.99722159,37.58837838],[126.99772715,37.58825686],[126.99819307,37.58805952],[126.99860145,37.58779394],[126.9989366,37.58747033],[126.99918564,37.58710112],[126.999339,37.58670051],[126.99939078,37.58628388]]]}"
6421495,2018040,1114016200,11140001  ,서울특별시 중구1,서울특별시 중구 신당동(약수역 부근),5,7,0,4,2,1,127.0106094,37.55455215,"{""type"":""Polygon"",""coordinates"":[[[127.01330437,37.55455215],[127.01325259,37.55413534],[127.01309923,37.55373455],[127.01285019,37.55336517],[127.01251504,37.55304141],[127.01210666,37.55277571],[127.01164074,37.55257827],[127.01113518,37.55245669],[127.01060943,37.55241563],[127.01008367,37.55245669],[127.00957811,37.55257827],[127.00911219,37.55277571],[127.00870381,37.55304141],[127.00836866,37.55336517],[127.00811962,37.55373455],[127.00796626,37.55413534],[127.00791448,37.55455215],[127.00796626,37.55496895],[127.00811962,37.55536974],[127.00836866,37.5557391],[127.00870381,37.55606285],[127.00911219,37.55632854],[127.00957811,37.55652597],[127.01008367,37.55664755],[127.01060943,37.5566886],[127.01113518,37.55664755],[127.01164074,37.55652597],[127.01210666,37.55632854],[127.01251504,37.55606285],[127.01285019,37.5557391],[127.01309923,37.55536974],[127.01325259,37.55496895],[127.01330437,37.55455215]]]}"
6421496,2018040,1114014800,11140002  ,서울특별시 중구2,서울특별시 중구 을지로6가(동대문운동장을지로진 부근),4,5,0,2,2,1,127.007417,37.5660152,"{""type"":""Polygon"",""coordinates"":[[[127.01011192,37.5660152],[127.01006014,37.56559846],[127.00990678,37.56519772],[127.00965774,37.56482841],[127.00932259,37.5645047],[127.00891421,37.56423903],[127.00844829,37.56404163],[127.00794273,37.56392006],[127.00741698,37.56387902],[127.00689122,37.56392006],[127.00638566,37.56404163],[127.00591974,37.56423903],[127.00551136,37.5645047],[127.00517621,37.56482841],[127.00492717,37.56519772],[127.00477381,37.56559846],[127.00472203,37.5660152],[127.00477381,37.56643194],[127.00492717,37.56683267],[127.00517621,37.56720197],[127.00551136,37.56752567],[127.00591974,37.56779132],[127.00638566,37.56798872],[127.00689122,37.56811028],[127.00741698,37.56815132],[127.00794273,37.56811028],[127.00844829,37.56798872],[127.00891421,37.56779132],[127.00932259,37.56752567],[127.00965774,37.56720197],[127.00990678,37.56683267],[127.01006014,37.56643194],[127.01011192,37.5660152]]]}"
6421494,2018040,1114014200,11140003  ,서울특별시 중구3,서울특별시 중구 예장동(필동2가삼익주택 부근),3,6,0,0,6,0,126.9912119,37.55869353,"{""type"":""Polygon"",""coordinates"":[[[126.99390681,37.55869353],[126.99385503,37.55827675],[126.99370167,37.55787598],[126.99345263,37.55750662],[126.99311748,37.55718288],[126.9927091,37.55691719],[126.99224317,37.55671976],[126.99173762,37.55659819],[126.99121186,37.55655714],[126.99068611,37.55659819],[126.99018055,37.55671976],[126.98971463,37.55691719],[126.98930625,37.55718288],[126.9889711,37.55750662],[126.98872206,37.55787598],[126.9885687,37.55827675],[126.98851692,37.55869353],[126.9885687,37.55911031],[126.98872206,37.55951108],[126.9889711,37.55988042],[126.98930625,37.56020415],[126.98971463,37.56046983],[126.99018055,37.56066725],[126.99068611,37.56078881],[126.99121186,37.56082986],[126.99173762,37.56078881],[126.99224317,37.56066725],[126.9927091,37.56046983],[126.99311748,37.56020415],[126.99345263,37.55988042],[126.99370167,37.55951108],[126.99385503,37.55911031],[126.99390681,37.55869353]]]}"
6421830,2018040,1117013000,11170001  ,서울특별시 용산구1,서울특별시 용산구 이태원동(녹사평역 부근),5,19,0,5,14,0,126.9892149,37.53401862,"{""type"":""Polygon"",""coordinates"":[[[126.99190983,37.53401862],[126.99185804,37.53360169],[126.99170469,37.53320079],[126.99145565,37.53283131],[126.99112049,37.53250746],[126.99071211,37.53224169],[126.99024619,37.53204419],[126.98974064,37.53192258],[126.98921488,37.53188151],[126.98868912,37.53192258],[126.98818357,37.53204419],[126.98771765,37.53224169],[126.98730927,37.53250746],[126.98697411,37.53283131],[126.98672507,37.53320079],[126.98657172,37.53360169],[126.98651993,37.53401862],[126.98657172,37.53443554],[126.98672507,37.53483643],[126.98697411,37.5352059],[126.98730927,37.53552974],[126.98771765,37.5357955],[126.98818357,37.53599298],[126.98868912,37.53611459],[126.98921488,37.53615565],[126.98974064,37.53611459],[126.99024619,37.53599298],[126.99071211,37.5357955],[126.99112049,37.53552974],[126.99145565,37.5352059],[126.99170469,37.53483643],[126.99185804,37.53443554],[126.99190983,37.53401862]]]}"
6424624,2018040,1117013000,11170002  ,서울특별시 용산구2,서울특별시 용산구 이태원동(예림가구전시장 부근),5,6,0,2,4,0,126.9948545,37.53147918,"{""type"":""Polygon"",""coordinates"":[[[126.99754949,37.53147918],[126.99749771,37.53106224],[126.99734435,37.53066132],[126.99709531,37.53029183],[126.99676016,37.52996797],[126.99635178,37.52970219],[126.99588586,37.52950469],[126.99538031,37.52938307],[126.99485455,37.529342],[126.99432879,37.52938307],[126.99382324,37.52950469],[126.99335732,37.52970219],[126.99294893,37.52996797],[126.99261378,37.53029183],[126.99236474,37.53066132],[126.99221138,37.53106224],[126.9921596,37.53147918],[126.99221138,37.53189611],[126.99236474,37.53229702],[126.99261378,37.5326665],[126.99294893,37.53299035],[126.99335732,37.53325613],[126.99382324,37.53345361],[126.99432879,37.53357523],[126.99485455,37.53361629],[126.99538031,37.53357523],[126.99588586,37.53345361],[126.99635178,37.53325613],[126.99676016,37.53299035],[126.99709531,37.5326665],[126.99734435,37.53229702],[126.99749771,37.53189611],[126.99754949,37.53147918]]]}"
