"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"특수학교",성심학교,경기도 오산시 독산성로 140-24 (지곶동),경기도 오산시 지곶동 559-1,37.1767618,127.0175214,경기도 오산시,오산경찰서,N,0,25,2020-09-16
"초등학교",가수초등학교,경기도 오산시 가수로 50 (가수동),경기도 오산시 가수동 10-1,37.1481034,127.0479566,경기도 오산시,오산경찰서,Y,1,12,2020-09-16
"초등학교",광성초등학교,경기도 오산시 수목원로 577-18 (세교동),경기도 오산시 세교동 623,37.1841969,127.0397087,경기도 오산시,오산경찰서,Y,2,12,2020-09-16
"초등학교",대호초등학교,경기도 오산시 궐리사로46번길 3 (궐동),경기도 오산시 궐동 661,37.1591063,127.0578885,경기도 오산시,오산경찰서,Y,3,12,2020-09-16
"초등학교",매홀초등학교,경기도 오산시 청학로147번길 10 (수청동),경기도 오산시 수청동 534-1,37.162749,127.0632819,경기도 오산시,오산경찰서,Y,2,6,2020-09-16
"초등학교",삼미초등학교,경기도 오산시 북삼미로 183-9(외삼미동),경기도 오산시 외삼미동 290-3,37.1913557,127.0602693,경기도 오산시,오산경찰서,Y,2,6,2020-09-16
"초등학교",성산초등학교,경기도 오산시 성호대로 43 (오산동),경기도 오산시 오산동 524-1,37.1504441,127.0670404,경기도 오산시,오산경찰서,Y,3,12,2020-09-16
"초등학교",성호초등학교,경기도 오산시 성호새싹길 8 (오산동),경기도 오산시 오산동 862-1,37.1504779,127.0709531,경기도 오산시,오산경찰서,Y,2,12,2020-09-16
"초등학교",수청초등학교,경기도 오산시 오산대역로 123,경기도 오산시 수청동 584,37.1708567,127.0554744,경기도 오산시,오산경찰서,Y,3,18,2020-09-16
"초등학교",오산초등학교,경기도 오산시 가수로 16 (가수동),경기도 오산시 가수동 76,37.1451578,127.0501654,경기도 오산시,오산경찰서,Y,3,6,2020-09-16
"초등학교",오산고현초등학교,경기도 오산시 남부대로 459 (고현동),경기도 오산시 고현동 92,37.1334168,127.0851446,경기도 오산시,오산경찰서,Y,2,12,2020-09-16
"초등학교",오산대원초등학교,경기도 오산시 경기대로25번길 45 (갈곶동),경기도 오산시 갈곶동 258,37.1305534,127.0711912,경기도 오산시,오산경찰서,Y,2,6,2020-09-16
"초등학교",오산원당초등학교,경기도 오산시 부원로87번길 37-7 (원동),경기도 오산시 원동 30-22,37.1422645,127.0909576,경기도 오산시,오산경찰서,Y,2,5,2020-09-16
"초등학교",오산원일초등학교,경기도 오산시 오산로132번길 27 (원동),경기도 오산시 원동 360-19,37.1392033,127.0716946,경기도 오산시,오산경찰서,Y,2,12,2020-09-16
"초등학교",운산초등학교,경기도 오산시 운암로 72 (오산동),경기도 오산시 오산동 923-1,37.1526399,127.0775339,경기도 오산시,오산경찰서,Y,2,12,2020-09-16
"초등학교",운암초등학교,경기도 오산시 원동로 63 (원동),경기도 오산시 원동 815-5,37.1438536,127.0762159,경기도 오산시,오산경찰서,Y,2,6,2020-09-16
"초등학교",운천초등학교,경기도 오산시 운암로 116 (부산동),경기도 오산시 부산동 778-4,37.1559507,127.0797617,경기도 오산시,오산경찰서,Y,1,12,2020-09-16
"초등학교",원동초등학교,경기도 오산시 오산로 92 (원동),경기도 오산시 원동 805,37.1355282,127.069748,경기도 오산시,오산경찰서,Y,2,12,2020-09-16
"초등학교",화성초등학교,경기도 오산시 내삼미로 18 (수청동),경기도 오산시 수청동 47-1,37.1647733,127.0691922,경기도 오산시,오산경찰서,Y,3,12,2020-09-16
"초등학교",금암초등학교,경기도 오산시 수청로 204-20 (금암동),경기도 오산시 금암동 510,37.1787337,127.043949,경기도 오산시,오산경찰서,Y,2,6,2020-09-16
"초등학교",문시초등학교,경기도 오산시 여계산로 52-6 (금암동),경기도 오산시 금암동 518,37.174282,127.0452751,경기도 오산시,오산경찰서,Y,1,12,2020-09-16
"초등학교",양산초등학교,경기도 오산시 양산로 448 (양산동),경기도 오산시 양산동 667-3,37.1972091,127.0321039,경기도 오산시,오산경찰서,Y,2,9,2020-09-16
"초등학교",필봉초등학교,경기도 오산시 수청로 124 (금암동),경기도 오산시 금암동 486,37.1788276,127.0523812,경기도 오산시,오산경찰서,Y,1,12,2020-09-16
"초등학교",세미초등학교,경기도 오산시 내삼미로 127 (내삼미동),경기도 오산시 내삼미동 896,37.1744822,127.0643862,경기도 오산시,오산경찰서,N,1,15,2020-09-16
"초등학교",다온초등학교,경기도 오산시 부산중앙로 37 (부산동),경기도 오산시 부산동 794,37.1519816,127.0908929,경기도 오산시,오산경찰서,Y,3,18,2020-09-16
"초등학교",세마초등학교,경기도 오산시 세마문학로 45 (지곶동),경기도 오산시 지곶동 578,37.1696802,127.0275815,경기도 오산시,오산경찰서,Y,3,18,2020-09-16
"유치원",노틀담유치원,경기도 오산시 가장로 709 (청학동),경기도 오산시 청학동 73-1,37.1535531,127.0559346,경기도 오산시,오산경찰서,Y,1,22,2020-09-16
