시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,율길초등학교,경기도 가평군 상면 청군로 2090,경기도 가평군 상면 율길리 454-1번지,37.838042,127.288413,가평군,가평경찰서,Y,1,,2020-04-30
어린이집,통큰 에듀파크 어린이집,경기도 가평군 청평면 구청평로 58,경기도 가평군 청평면 청평리 626-10번지,37.732518,127.413742,가평군,가평경찰서,N,0,,2020-04-30
초등학교,목동초등학교 명지분교,경기도 가평군 북면 가화로 2680,경기도 가평군 북면 적목리 160-1번지,37.970961,127.454591,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,미원초등학교 위곡분교,경기도 가평군 설악면 한서로 233,경기도 가평군 설악면 위곡리 718-1번지,37.670627,127.515215,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,미원초등학교 장락분교,경기도 가평군 설악면 미사리로 588,경기도 가평군 설악면 미사리 290-3번지,37.703782,127.540163,가평군,가평경찰서,N,0,,2020-04-30
어린이집,홍익어린이집,경기도 가평군 가평읍 석봉로153번길 16,경기도 가평군 가평읍 대곡리 285-13번지,37.828664,127.509530,가평군,가평경찰서,N,0,,2020-04-30
어린이집,가평어린이집,경기도 가평군 가평읍 가화로 163,경기도 가평군 가평읍 읍내리 625-2번지,37.833753,127.510982,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,상색초등학교,경기도 가평군 가평읍 태봉두밀로 34-31,경기도 가평군 가평읍 상색리 171-2번지,37.805370,127.485093,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,대성초등학교,경기도 가평군 청평면 경춘로 75,경기도 가평군 청평면 대성리 399-16번지,37.683090,127.377674,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,상천초등학교,경기도 가평군 청평면 상천역로19번길 38,경기도 가평군 청평면 상천리 1299-4번지,37.770092,127.456165,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,가평초등학교,경기도 가평군 가평읍 향교로 23,경기도 가평군 가평읍 읍내리 553번지,37.830692,127.507266,가평군,가평경찰서,Y,2,,2020-04-30
초등학교,가평마장초등학교,경기도 가평군 가평읍 각담말길 15,경기도 가평군 가평읍 마장리 357번지,37.860307,127.514521,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,청평초등학교,경기도 가평군 청평면 잠곡로 27,경기도 가평군 청평면 청평리 395번지,37.737828,127.421893,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,상면초등학교,경기도 가평군 상면 청군로 700-22,경기도 가평군 상면 임초리 445-3번지,37.776370,127.371188,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,목동초등학교,경기도 가평군 북면 석장모루길 13,경기도 가평군 북면 이곡리 13-45번지,37.878798,127.548224,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,방일초등학교,경기도 가평군 설악면 양방가루재길 76,경기도 가평군 설악면 방일리 50번지,37.629278,127.499386,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,조종초등학교,경기도 가평군 조종면 조종새싹로 13-9,경기도 가평군 조종면 현리 276번지,37.821490,127.348713,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,미원초등학교,경기도 가평군 설악면 신천중앙로120번길 11,경기도 가평군 설악면 신천리 439-2번지,37.679403,127.490868,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,연하초등학교,경기도 가평군 상면 비룡로 2199-19,경기도 가평군 상면 연하리 452-1번지,37.803149,127.342368,가평군,가평경찰서,Y,1,,2020-04-30
초등학교,문촌초교,경기도 고양시 일산서구 주엽로 168,경기도 고양시 일산서구 주엽동 24번지,37.67338777,126.7604552,경기도 고양시청,일산서부경찰서,Y,2,30,2020-07-06
유치원,다솔,경기도 고양시 덕양구 도래울1로 37,경기도 고양시 덕양구 도내동 1000번지,37.63009647,126.8671966,경기도 고양시청,고양경찰서,Y,2,18,2020-07-06
초등학교,중산초교,경기도 고양시 일산동구 탄중로 373,경기도 고양시 일산동구 중산동 1575-3번지,37.69044286,126.783537,경기도 고양시청,일산동부경찰서,Y,1,20,2020-07-06
초등학교,상탄초교,경기도 고양시 일산서구 현중로 47,경기도 고양시 일산서구 탄현동 1483번지,37.69513542,126.7666939,경기도 고양시청,일산서부경찰서,Y,3,20~30,2020-07-06
초등학교,소만초교,경기도 고양시 덕양구 화신로 48,경기도 고양시 덕양구 행신동 780번지,37.617508,126.8395862,경기도 고양시청,고양경찰서,Y,1,20,2020-07-06
초등학교,신일초교,경기도 고양시 일산서구 강선로 183,경기도 고양시 일산서구 일산동 1075번지,37.67954944,126.7708283,경기도 고양시청,일산서부경찰서,Y,2,28,2020-07-06
초등학교,한산초교,경기도 고양시 일산서구 하이파크1로 56,경기도 고양시 일산서구 덕이동 1614번지,37.69594778,126.7532619,경기도 고양시청,일산서부경찰서,Y,2,15~25,2020-07-06
유치원,미래,경기도 고양시 덕양구 호국로 819,경기도 고양시 덕양구 주교동 621-4번지,37.6588205,126.838314,경기도 고양시청,고양경찰서,Y,1,16,2020-07-06
어린이집,준성자연어린이집,경기도 고양시 덕양구 통일로799번길 7,경기도 고양시 덕양구 관산동 238-15번지,37.68840548,126.861833,경기도 고양시청,고양경찰서,N,0,6~8,2020-07-06
어린이집,화전,경기도 고양시 덕양구 화랑로 1-1,경기도 고양시 덕양구 화전동 226-6번지,37.599429,126.872732,경기도 고양시청,고양경찰서,N,0,10,2020-07-06
초등학교,행신초교,경기도 고양시 덕양구 중앙로 527,경기도 고양시 덕양구 행신동 983-1번지,37.62194539,126.8364549,경기도 고양시청,고양경찰서,Y,2,15~42,2020-07-06
초등학교,율동초교,경기도 고양시 일산동구 산두로 223,경기도 고양시 일산동구 정발산동 1117번지,37.675422,126.778853,경기도 고양시청,일산동부경찰서,Y,2,20~38,2020-07-06
유치원,꿈나라유치원,경기도 고양시 덕양구 신원로1길 61,경기도 고양시 덕양구 신원동 646-1번지,37.66127088,126.8884478,경기도 고양시청,고양경찰서,N,0,8~10,2020-07-06
초등학교,대곡초교,경기도 고양시 덕양구 대주로 138-50,경기도 고양시 덕양구 대장동 226-2번지,37.6411552,126.8127551,경기도 고양시청,고양경찰서,Y,1,5~11,2020-07-06
유치원,유진,경기도 고양시 일산동구 산두로201번길 23,경기도 고양시 일산동구 정발산동 1243번지,37.673745,126.781386,경기도 고양시청,일산서부경찰서,Y,1,6~8,2020-07-06
유치원,경기,경기도 고양시 덕양구 통일로542번길 27,경기도 고양시 덕양구 대자동 305번지,37.68145017,126.889413,경기도 고양시청,고양경찰서,Y,1,4,2020-07-06
초등학교,화수초교,경기도 고양시 덕양구 화수로 25,경기도 고양시 덕양구 화정동 860번지,37.64538018,126.8327278,경기도 고양시청,고양경찰서,Y,1,20~30,2020-07-06
초등학교,행남초교,경기도 고양시 덕양구 소만로 22,경기도 고양시 덕양구 행신동 789번지,37.615153,126.842592,경기도 고양시청,고양경찰서,Y,2,10~25,2020-07-06
초등학교,풍산초교,경기도 고양시 일산동구 숲속마을로 51,경기도 고양시 일산동구 풍동 1284번지,37.66687147,126.7967048,경기도 고양시청,일산동부경찰서,Y,3,14~25,2020-07-06
어린이집,숲속반디어린이집,경기도 고양시 덕양구 삼송로221번길 11,경기도 고양시 덕양구 지축동 766-148번지,37.654212,126.899228,경기도 고양시청,고양경찰서,N,0,6.5,2020-07-06
유치원,선재,경기도 고양시 일산서구 홀트로 55,경기도 고양시 일산서구 탄현동 1481번지,37.69509625,126.7706127,경기도 고양시청,일산서부경찰서,Y,1,20,2020-07-06
초등학교,신원초교,경기도 고양시 덕양구 신원3로 21,경기도 고양시 덕양구 신원동 601번지,37.66780594,126.8858855,경기도 고양시청,고양경찰서,Y,2,15~52.5,2020-07-06
초등학교,지도초교,경기도 고양시 덕양구 성신로 49,경기도 고양시 덕양구 화정동 1132번지,37.628255,126.8337585,경기도 고양시청,고양경찰서,Y,4,20,2020-07-06
초등학교,행주초교,경기도 고양시 덕양구 행주로17번길 70,경기도 고양시 덕양구 행주내동 175번지,37.60331776,126.8247318,경기도 고양시청,고양경찰서,Y,1,4~7,2020-07-06
초등학교,모당초교,경기도 고양시 일산동구 하늘마을로 144,경기도 고양시 일산동구 중산동 1684번지,37.67952149,126.7807725,경기도 고양시청,일산동부경찰서,Y,2,20~25,2020-07-06
초등학교,백석초교,경기도 고양시 일산동구 강촌로 140,경기도 고양시 일산동구 백석동 1188번지,37.65213962,126.7890573,경기도 고양시청,일산동부경찰서,Y,3,25~35,2020-07-06
유치원,늘푸른무지개,경기도 고양시 덕양구 지도로104번길 39,경기도 고양시 덕양구 토당동 897-4번지,37.626853,126.826025,경기도 고양시청,고양경찰서,Y,1,8,2020-07-06
초등학교,도래울초교,경기도 고양시 덕양구 도래울3로 5,경기도 고양시 덕양구 도내동 1012번지,37.63174002,126.8705787,경기도 고양시청,고양경찰서,Y,2,22~30,2020-07-06
학원,마두동학원가,경기도 고양시 일산동구 일산로 218,경기도 고양시 일산동구 마두동 727번지,37.65581694,126.789778,경기도 고양시청,일산동부경찰서,Y,4,35,2020-07-06
학원,행신동 일원,경기도 고양시 덕양구 충장로 150,경기도 고양시 덕양구 행신동 941번지,37.625168,126.8361442,경기도 고양시청,고양경찰서,Y,1,12~26,2020-07-06
어린이집,덕양구청직장,경기도 고양시 덕양구 은빛로 78,경기도 고양시 덕양구 화정동 959번지,37.63711803,126.836445,경기도 고양시청,고양경찰서,Y,1,26,2020-07-06
초등학교,무원초교,경기도 고양시 덕양구 무원로 47,경기도 고양시 덕양구 행신동 696번지,37.6176968,126.8316617,경기도 고양시청,고양경찰서,Y,1,15~28,2020-07-06
초등학교,한뫼초교,경기도 고양시 일산서구 고양대로 629,경기도 고양시 일산서구 일산동 960-9번지,37.68657978,126.7667071,경기도 고양시청,일산서부경찰서,Y,2,9~25,2020-07-06
유치원,성실유치원,경기도 고양시 덕양구 동헌로 387,경기도 고양시 덕양구 고양동 407-15번지,37.7071736,126.8951107,경기도 고양시청,고양경찰서,N,0,7,2020-07-06
유치원,오늘유치원,경기도 고양시 일산서구 성저로 62,경기도 고양시 일산서구 대화동 2068번지,37.684628,126.7540385,경기도 고양시청,일산서부경찰서,N,0,13~15,2020-07-06
유치원,솔마루유치원,경기도 고양시 일산동구 위시티2로11번길 22-30,경기도 고양시 일산동구 식사동 1540번지,37.6768287,126.8139442,경기도 고양시청,일산동부경찰서,Y,1,6,2020-07-06
유치원,성모,경기도 고양시 일산서구 원일로 57,경기도 고양시 일산서구 일산동 600-47번지,37.68773414,126.7691025,경기도 고양시청,일산서부경찰서,N,0,9~25,2020-07-06
초등학교,가람초교,경기도 고양시 덕양구 행신로311번길 78,경기도 고양시 덕양구 행신동 926번지,37.62371918,126.842202,경기도 고양시청,고양경찰서,Y,2,10~20,2020-07-06
유치원,안젤라,경기도 고양시 일산동구 강송로225번길 39,경기도 고양시 일산동구 마두동 991번지,37.657441,126.779243,경기도 고양시청,일산서부경찰서,Y,1,8,2020-07-06
초등학교,용현초교,경기도 고양시 덕양구 화신로 21,경기도 고양시 덕양구 행신동 770번지,37.61517602,126.838289,경기도 고양시청,고양경찰서,Y,1,20,2020-07-06
어린이집,시립풍동숲속,경기도 고양시 일산동구 숲속마을2로 151,경기도 고양시 일산동구 풍동 1233번지,37.6730098,126.7970098,경기도 고양시청,일산동부경찰서,Y,1,12~25,2020-07-06
초등학교,백송초교,경기도 고양시 일산서구 하이파크3로 110,경기도 고양시 일산서구 덕이동 1532번지,37.70180833,126.753543,경기도 고양시청,일산서부경찰서,Y,3,23~28,2020-07-06
초등학교,토당초교,경기도 고양시 덕양구 행신로 90,경기도 고양시 덕양구 토당동 409-12번지,37.61719528,126.826234,경기도 고양시청,고양경찰서,Y,1,23~27,2020-07-06
유치원,숲소리,경기도 고양시 덕양구 일영로 146-1,경기도 고양시 덕양구 지축동 595-7번지,37.65982988,126.920223,경기도 고양시청,고양경찰서,Y,1,20,2020-07-06
초등학교,양일초교,경기도 고양시 일산동구 위시티로 151,경기도 고양시 일산동구 식사동 1477번지,37.68534421,126.8136100183,경기도 고양시청,일산동부경찰서,Y,3,15~33,2020-07-06
초등학교,덕은초교,경기도 고양시 덕양구 중앙로176번길 18-4,경기도 고양시 덕양구 화전동 274-6번지,37.603184,126.8718241,경기도 고양시청,고양경찰서,Y,2,10,2020-07-06
초등학교,현산초교,경기도 고양시 일산서구 산현로 87,경기도 고양시 일산서구 탄현동 1586번지,37.69269338,126.771069,경기도 고양시청,일산서부경찰서,Y,1,8~20,2020-07-06
유치원,하늘 숲,경기도 고양시 일산동구 숲속마을1로 29-12,경기도 고양시 일산동구 풍동 1290번지,37.664036,126.798235,경기도 고양시청,일산동부경찰서,Y,2,14~20,2020-07-06
초등학교,신능초교,경기도 고양시 덕양구 충장로123번길 37,경기도 고양시 덕양구 행신동 1005번지,37.6241437,126.8312665,경기도 고양시청,고양경찰서,Y,1,8~12,2020-07-06
초등학교,장촌초교,경기도 고양시 일산서구 호수로856번길 43,경기도 고양시 일산서구 대화동 2269번지,37.672824,126.7489586,경기도 고양시청,일산서부경찰서,Y,1,12~31,2020-07-06
초등학교,화중초교,경기도 고양시 덕양구 화중로152번길 43,경기도 고양시 덕양구 화정동 871번지,37.6408943,126.8360191,경기도 고양시청,고양경찰서,Y,2,15,2020-07-06
특수학교,명현학교,경기도 고양시 덕양구 세솔로 138,경기도 고양시 덕양구 삼송동 99-11번지,37.65675837,126.8842042,경기도 고양시청,고양경찰서,N,0,20~28,2020-07-06
초등학교,주엽초교,경기도 고양시 일산서구 강선로 29,경기도 고양시 일산서구 주엽동 100번지,37.66738939,126.7615127,경기도 고양시청,일산서부경찰서,Y,2,25,2020-07-06
어린이집,세빛어린이집,경기도 고양시 덕양구 화수로 48,경기도 고양시 덕양구 화정동 870번지,37.643927,126.835163,경기도 고양시청,고양경찰서,N,0,20~30,2020-07-06
유치원,해달별유치원,경기도 고양시 덕양구 강매로 229,경기도 고양시 덕양구 강매동 113번지,37.6078067,126.843548,경기도 고양시청,고양경찰서,N,0,8,2020-07-06
어린이집,꽃과호수,경기도 고양시 일산서구 강성로 58,경기도 고양시 일산서구 주엽동 60번지,37.66759692,126.7679862,경기도 고양시청,일산서부경찰서,N,0,20,2020-07-06
유치원,아리솔유치원,경기도 고양시 일산동구 약산길 45,경기도 고양시 일산동구 중산동 13-4번지,37.682457,126.791797,경기도 고양시청,일산동부경찰서,N,0,12,2020-07-06
초등학교,대화초교,경기도 고양시 일산서구 송포로 50,경기도 고양시 일산서구 대화동 1643번지,37.67157234,126.732363,경기도 고양시청,일산서부경찰서,Y,2,15~20,2020-07-06
초등학교,고봉초교,경기도 고양시 일산동구 중산로 280,경기도 고양시 일산동구 중산동 1554-1번지,37.6961389,126.7826194,경기도 고양시청,일산동부경찰서,Y,2,25,2020-07-06
초등학교,내유초교,경기도 고양시 덕양구 통일로 1132,경기도 고양시 덕양구 내유동 431-7번지,37.71556321,126.8519553,경기도 고양시청,고양경찰서,Y,2,18,2020-07-06
