index,lon,lat,overspeed_cam_count100,floating_pop_count50,shortest_bump_dist,parking_count12.5,parking_count25,car_count1000,child_count1000,elem_kinder_count400,numberSchoolZone_count400,accident_count12.5,accident_count25,num_cram_school_count400,shortest_cross_dist,shortest_traffic_signal_dist,shortest_sidewalk_dist,barrier_nearby_count12.5,barrier_nearby_count25,chaos1_nearby_count12.5,chaos1_nearby_count25,chaos1_nearby_count50,width_nearby_count12.5,width_nearby_count25,cross_road_nearby_count12.5,cross_road_nearby_count25
0,127.06150917316641,37.149280591106155,0.0,390.898125,143.58256780645854,0.0,0.0,470.0,24.0,1.0,0.0,0.0,1.0,17.0,0.0,4.965855145735414,58.860463187283955,0.0,0.0,90.53,69.89,84.5725,1.0,1.3333333333333333,2.0,3.0
2,127.06186518201919,37.149617022500586,0.0,364.71888888888884,98.52598820453363,0.0,0.0,470.0,24.0,1.0,0.0,0.0,0.0,26.0,16.63181866521683,21.477200716710147,33.34889648427678,0.0,0.0,84.97,94.67666666666666,79.33500000000002,1.0,2.0,2.0,3.0
3,127.06095674539348,37.149433071462795,0.0,427.0779166666666,154.75513156616762,0.0,0.0,470.0,24.0,1.0,0.0,0.0,0.0,4.0,11.360299894041887,9.200259473799573,8.918162978627784,0.0,0.0,90.53,96.02375,88.85833333333333,1.0,2.0,1.0,3.0
6,127.0683494614262,37.15483885046748,0.0,200.88027777777774,326.0371934000351,1.0,5.0,1642.0,162.0,5.0,2.0,1.0,1.0,15.0,12.617952083462953,11.592142293330085,11.11730063966202,0.0,0.0,85.0225,85.0225,85.44375,2.0,2.0,0.0,0.0
7,127.07355846165295,37.146371168024324,0.0,142.95027777777776,352.7392003773619,0.0,0.0,1909.0,163.0,12.0,1.0,0.0,0.0,160.0,11.214116096900852,16.047135789696096,14.634034776661528,0.0,0.0,59.17,59.17,60.165000000000006,3.0,3.0,0.0,0.0
9,127.07298671052963,37.14638102673618,0.0,157.43805555555556,325.6631085789965,0.0,0.0,1909.0,163.0,10.0,1.0,0.0,0.0,160.0,24.83346702700912,28.06719836903665,4.938182565129163,0.0,0.0,61.16,63.8025,63.8025,3.0,2.5,0.0,0.0
10,127.07215107208306,37.13379107096592,0.0,124.65555555555555,432.52527392444216,6.0,18.0,1909.0,422.0,27.0,6.0,0.0,0.0,135.0,7.448928951532687,153.43905740155466,48.694738780403384,0.0,0.0,92.475,92.475,75.9,2.0,2.0,0.0,0.0
12,127.06087070382422,37.150019520078594,0.0,544.6991666666668,120.86483086379593,0.0,3.0,470.0,24.0,1.0,0.0,0.0,0.0,4.0,0.0,9.525662391058779,6.132743234305343,0.0,0.0,86.125,90.61666666666667,93.436,1.0,2.0,2.0,3.0
14,127.06098665164728,37.14957898746962,0.0,569.9977083333333,141.06399284110492,0.0,0.0,470.0,24.0,1.0,0.0,0.0,0.0,4.0,24.261836024299946,19.9219050817884,5.021031696838663,0.0,0.0,99.92,96.46,89.40666666666668,1.0,1.6666666666666667,1.0,3.0
17,127.06158148023891,37.14997046282691,0.0,458.4927777777778,73.37920694267946,0.0,0.0,470.0,24.0,1.0,0.0,0.0,1.0,17.0,26.95025776050497,31.047948142139955,3.591569757815164,0.0,0.0,84.97,65.74333333333334,79.74812500000002,1.0,1.6666666666666667,1.0,3.0
