,x,effect,hue
1,floating_pop_count50,2.0908281029332967,base
2,elem_kinder_count400,2.4242922562663876,base
3,num_cram_school_count400,1.2915243397568452,base
4,parking_count25,3.207001269424483,base
5,width_nearby_count25,0.6529312811437931,base
6,cross_road_nearby_count25,2.223034374644437,base
1,floating_pop_count50,2.317408979751628,cluster0
2,elem_kinder_count400,1.7180184412613102,cluster0
3,num_cram_school_count400,1.683749930413348,cluster0
4,parking_count25,5.8067299122719245,cluster0
5,width_nearby_count25,0.8035688777920476,cluster0
6,cross_road_nearby_count25,2.6355839424729455,cluster0
1,elem_kinder_count400,4.224564361830207,cluster3
2,cross_road_nearby_count25,2.132312529319363,cluster3
1,floating_pop_count50,3.3772757277721492,schoolzone
2,elem_kinder_count400,2.3642477002298556,schoolzone
3,parking_count25,5.519203220434075,schoolzone
4,cross_road_nearby_count25,1.506645533298352,schoolzone
