,Unnamed: 0,floating_pop_count50,elem_kinder_count400,num_cram_school_count400,parking_count25,width_nearby_count25,cross_road_nearby_count25,lat,lon,overspeed_cam_count100,is_cross50,is_traffic_signal50,is_bump40,numberSchoolZone_count400,cluster,extra50,index,danger
0,0,0.32704724216830605,0.03225806451612903,0.07834101382488479,0.0,0.1111111111111111,0.30000000000000004,37.149280591106155,127.06150917316641,0,True,True,False,0,2,0,0,0.90661114
1,1,0.4248107757777656,0.03225806451612903,0.07834101382488479,0.0,0.24999999999999994,0.4,37.14950332987456,127.06161547872827,0,True,True,False,0,2,0,1,0.5965583
2,2,0.3051424851333577,0.03225806451612903,0.11981566820276494,0.0,0.3333333333333333,0.30000000000000004,37.149617022500586,127.06186518201919,0,True,True,False,0,2,0,2,0.09743725
3,3,0.35731968948761544,0.03225806451612903,0.018433179723502304,0.0,0.3333333333333333,0.30000000000000004,37.149433071462795,127.06095674539348,0,True,True,False,0,0,0,3,0.03200639
4,4,0.3985137483391928,0.03225806451612903,0.07834101382488479,0.0,0.3333333333333333,0.30000000000000004,37.14945708580803,127.06123724516807,0,True,True,False,0,2,0,4,0.2951543
5,5,0.16805502566355868,0.16129032258064516,0.06912442396313365,0.0011748120300751881,0.3333333333333333,0.0,37.15483885046748,127.0683494614262,0,True,True,False,2,0,0,6,0.9620727
6,6,0.11958368869830725,0.3870967741935484,0.7373271889400922,0.0,0.6666666666666667,0.0,37.146371168024324,127.07355846165295,0,True,True,False,1,2,0,7,0.22621217
7,7,0.12684237297767356,0.3870967741935484,0.7373271889400922,0.0,0.6666666666666667,0.0,37.146376097380255,127.07327258609129,0,True,True,False,1,0,0,8,0.13564555
8,8,0.13170593897526822,0.3225806451612903,0.7373271889400922,0.0,0.5,0.0,37.14638102673618,127.07298671052963,0,True,True,False,1,0,0,9,0.07910961
9,9,0.10427608218149373,0.8709677419354839,0.6221198156682027,0.004229323308270677,0.3333333333333333,0.0,37.13379107096592,127.07215107208306,0,True,False,False,6,2,0,10,0.14653935
10,10,0.12084667489366355,0.8064516129032258,0.6221198156682027,0.0007048872180451127,0.3333333333333333,0.4,37.133794943749116,127.07243332214682,0,True,False,False,4,2,0,11,0.10020917
11,11,0.455736040998475,0.03225806451612903,0.018433179723502304,0.0007048872180451127,0.3333333333333333,0.30000000000000004,37.150019520078594,127.06087070382422,0,True,True,False,0,0,0,12,0.013096368
12,12,0.4769039011375126,0.03225806451612903,0.018433179723502304,0.0007048872180451127,0.3333333333333333,0.30000000000000004,37.14981046454245,127.06099908477829,0,True,True,False,0,0,0,13,0.017245088
13,13,0.4769039011375126,0.03225806451612903,0.018433179723502304,0.0,0.22222222222222227,0.30000000000000004,37.14957898746962,127.06098665164728,0,True,True,False,0,0,0,14,0.058057897
