,link_id,week_type,velocity_AVRG
0,478344684,weekend,61.73
1,478344686,weekend,69.04
2,478344690,weekend,78.15
3,478344696,weekend,67.75
4,478344700,weekend,42.4
5,478344746,weekend,85.16
6,478345240,weekend,66.7
7,571200680,weekend,30.62
8,571200680,weekend,34.68
9,571200886,weekend,22.24
10,571200886,weekend,25.87
11,571200912,weekend,22.24
12,571200912,weekend,25.87
13,571200916,weekend,21.23
14,571200916,weekend,26.39
15,571200919,weekend,31.12
16,571200919,weekend,30.31
17,571200938,weekend,30.23
18,571200938,weekend,30.59
19,571200995,weekend,52.46
20,571200995,weekend,50.92
21,571201996,weekend,30.6
22,571201996,weekend,22.52
23,571202002,weekend,21.74
24,571202002,weekend,16.95
25,571210004,weekend,39.08
26,571210005,weekend,39.08
27,571210019,weekend,21.67
28,571210019,weekend,18.49
29,571210026,weekend,21.67
30,571210026,weekend,18.49
31,571210028,weekend,50.92
32,571210028,weekend,52.46
33,571210057,weekend,30.62
34,571210057,weekend,34.68
35,571210075,weekend,27.47
36,571210075,weekend,35.21
37,571210085,weekend,29.54
38,571210085,weekend,27.96
39,571210089,weekend,29.54
40,571210089,weekend,27.96
41,571210139,weekend,23.13
42,571210139,weekend,29.17
43,571210142,weekend,25.87
44,571210142,weekend,22.24
45,571210145,weekend,22.27
46,571210145,weekend,23.49
47,571210148,weekend,22.24
48,571210148,weekend,25.87
49,571210156,weekend,22.27
50,571210156,weekend,23.49
51,571210192,weekend,29.67
52,571210192,weekend,30.32
53,571210305,weekend,24.31
54,571210305,weekend,27.33
55,571210330,weekend,30.23
56,571210330,weekend,30.59
57,571210333,weekend,30.31
58,571210333,weekend,31.12
59,571210338,weekend,26.39
60,571210338,weekend,21.23
61,571210348,weekend,30.59
62,571210348,weekend,30.23
63,571210370,weekend,21.23
64,571210370,weekend,26.39
65,571240019,weekend,36.91
66,571240019,weekend,35.0
67,571240026,weekend,63.61
68,571240026,weekend,55.88
69,571240630,weekend,63.11
70,571240630,weekend,65.64
71,571240644,weekend,25.34
72,571240644,weekend,27.83
73,571240646,weekend,35.69
74,571240646,weekend,27.71
75,571240660,weekend,28.06
76,571240660,weekend,33.18
77,571240674,weekend,53.25
78,571240674,weekend,38.23
79,571240785,weekend,35.45
80,571240785,weekend,33.53
81,571240789,weekend,26.19
82,571240789,weekend,27.76
83,571240791,weekend,27.76
84,571240791,weekend,26.19
85,571240794,weekend,27.76
86,571240794,weekend,26.19
87,571240835,weekend,43.26
88,571240835,weekend,32.88
89,571240838,weekend,32.88
90,571240838,weekend,43.26
91,571240892,weekend,45.61
92,571240892,weekend,43.56
