일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),일 최심적설(cm),평균 지면온도(°C)
2010/01/01,-7.1,-13.6,-3.0,,3.1,1.2,59.1,0.5,-3.8
2010/01/02,-2.2,-5.9,1.3,0.5,3.4,2.1,76.9,1.0,-1.6
2010/01/03,-5.7,-9.9,-2.0,,2.6,1.1,56.4,0.4,-3.3
2010/01/04,-5.1,-6.6,-2.5,11.2,5.3,2.6,90.8,19.8,-1.2
2010/01/05,-8.7,-12.0,-5.4,0.1,4.3,2.2,72.0,18.7,-5.0
2010/01/06,-12.0,-18.6,-5.7,,4.2,1.2,77.6,15.5,-7.5
2010/01/07,-11.2,-17.7,-4.7,0.0,2.8,0.8,76.6,13.5,-7.4
2010/01/08,-9.6,-16.4,-1.6,,2.7,0.7,79.3,12.9,-6.6
2010/01/09,-6.1,-12.0,-1.2,0.3,2.6,0.6,87.4,11.5,-3.5
2010/01/10,-4.0,-8.4,1.6,,2.3,0.9,86.4,11.3,-2.2
2010/01/11,-5.8,-10.9,-0.9,,3.0,1.2,84.8,10.5,-4.2
2010/01/12,-8.8,-12.1,-5.3,,3.9,2.0,59.3,10.0,-6.0
2010/01/13,-11.9,-14.7,-8.3,,5.2,2.4,55.9,9.2,-8.6
2010/01/14,-9.4,-17.7,-3.6,,3.0,1.0,66.9,8.8,-6.9
2010/01/15,-4.1,-7.5,1.4,0.6,3.3,1.6,70.5,9.5,-3.4
2010/01/16,-7.3,-14.5,-0.7,,2.6,0.9,68.5,9.0,-6.2
2010/01/17,-5.7,-13.4,3.2,,2.0,0.6,71.8,8.1,-5.6
2010/01/18,-1.9,-9.4,4.5,,2.2,0.6,78.4,7.3,-1.9
2010/01/19,2.8,-4.7,9.2,0.2,3.2,1.2,76.9,6.9,-0.1
2010/01/20,6.1,3.3,8.8,9.0,3.2,0.8,98.9,3.5,1.8
2010/01/21,-2.9,-6.7,3.8,2.0,4.5,2.8,67.1,,0.0
2010/01/22,-5.7,-8.6,-1.7,,4.4,2.2,55.0,,-2.4
2010/01/23,-4.6,-8.9,-0.1,,4.6,1.5,58.4,,-2.8
2010/01/24,0.2,-6.1,5.0,,4.5,1.5,76.3,,-1.0
2010/01/25,-2.2,-7.5,3.1,,6.2,2.7,59.0,,-1.0
2010/01/26,-4.4,-10.3,2.0,,3.7,1.3,62.6,,-3.3
2010/01/27,0.6,-5.8,5.5,3.0,3.6,1.4,78.4,,-1.8
2010/01/28,0.4,-4.3,3.9,,4.9,2.6,71.8,,0.5
2010/01/29,-2.0,-7.7,1.9,0.0,5.2,2.0,66.8,,-1.2
2010/01/30,-0.1,-4.8,5.8,,3.1,0.9,81.3,,-0.7
2010/01/31,0.5,-3.7,6.0,0.0,1.8,0.6,90.3,,-0.3
2010/02/01,0.9,-2.3,5.2,,4.3,1.4,78.3,,0.5
2010/02/02,-4.9,-7.5,-1.8,,6.4,3.2,33.8,,-2.7
2010/02/03,-7.4,-10.6,-4.0,,5.1,2.2,45.3,,-4.6
2010/02/04,-4.1,-10.1,0.2,0.0,4.3,1.6,68.3,0.1,-2.4
2010/02/05,-4.6,-7.0,-1.5,,4.5,2.1,42.4,,-3.3
2010/02/06,-5.0,-11.5,1.3,,3.7,1.3,53.5,,-3.7
2010/02/07,0.4,-9.5,8.1,,3.0,1.0,47.5,,-2.1
2010/02/08,4.3,2.2,7.6,0.1,2.3,0.8,61.3,,0.7
2010/02/09,4.0,2.5,5.1,18.0,1.8,0.7,99.0,,1.1
2010/02/10,4.0,3.0,4.9,6.5,4.2,1.3,94.6,,0.9
2010/02/11,1.4,0.2,4.1,10.6,4.8,2.4,89.5,1.8,0.0
2010/02/12,0.2,-1.4,2.7,0.1,3.7,1.7,86.5,1.7,0.5
2010/02/13,-2.1,-4.4,0.1,0.6,5.1,2.1,76.1,1.4,1.1
2010/02/14,-1.5,-4.8,1.7,,2.9,0.9,58.9,,-0.4
2010/02/15,-2.2,-5.0,1.2,,4.0,2.2,53.8,,-0.6
2010/02/16,-3.9,-7.3,0.5,,4.8,1.8,50.5,,-0.5
2010/02/17,-2.7,-7.7,0.7,0.5,4.0,1.1,60.3,1.1,-1.2
2010/02/18,-2.3,-5.1,-0.1,1.1,6.1,2.8,63.9,2.8,-0.2
2010/02/19,-1.2,-5.5,3.2,,4.7,1.6,64.6,,0.4
2010/02/20,1.6,-4.5,9.2,,2.9,0.8,77.0,,1.2
2010/02/21,3.3,-3.7,10.6,,4.4,1.1,72.9,,1.7
2010/02/22,4.6,-0.5,11.2,0.0,3.1,0.9,85.3,,2.6
2010/02/23,6.5,-2.6,16.5,,4.0,1.4,66.5,,2.8
2010/02/24,11.1,0.4,18.1,,4.2,1.4,64.4,,3.5
2010/02/25,12.4,9.5,14.5,18.5,4.2,1.3,94.6,,6.0
2010/02/26,12.2,8.5,19.1,0.5,3.2,1.3,79.0,,8.9
2010/02/27,8.0,5.1,11.8,0.2,6.1,2.6,79.9,,7.4
2010/02/28,7.3,4.2,11.6,,3.6,1.5,79.5,,7.1
2010/03/01,3.9,2.4,7.3,16.5,7.0,3.6,85.6,,4.3
2010/03/02,3.0,0.9,5.3,0.1,4.2,2.0,83.6,,3.5
2010/03/03,5.3,-2.0,11.6,,5.3,2.2,61.5,,4.8
2010/03/04,5.9,5.2,7.4,1.0,5.1,2.8,78.9,,5.2
2010/03/05,6.6,4.6,9.7,1.0,3.7,1.5,83.4,,6.8
2010/03/06,6.5,3.0,11.4,0.0,4.7,1.9,67.0,,7.4
2010/03/07,5.7,3.2,9.0,,5.1,2.9,56.3,,5.3
2010/03/08,4.6,1.1,9.0,,6.5,3.5,55.4,,4.5
2010/03/09,1.9,-2.8,6.0,10.3,5.7,2.3,80.1,6.0,3.4
2010/03/10,-1.1,-3.6,1.4,2.9,4.0,2.1,86.4,7.9,1.6
2010/03/11,2.4,-3.4,7.4,,4.8,1.9,73.4,2.0,3.6
2010/03/12,6.3,2.5,11.7,,8.4,3.6,72.9,,5.2
2010/03/13,3.4,-1.0,9.1,,3.9,1.9,39.0,,3.6
2010/03/14,7.9,-0.2,13.9,1.5,5.2,2.4,59.8,,4.8
2010/03/15,8.0,3.5,11.3,14.5,5.8,3.0,85.4,,7.2
2010/03/16,1.8,0.0,4.4,,7.1,3.9,49.6,,3.3
2010/03/17,0.1,-2.8,5.2,4.1,4.5,1.1,71.6,6.4,1.4
2010/03/18,0.4,-2.6,4.4,0.3,5.2,2.1,68.0,6.9,4.9
2010/03/19,4.4,-3.3,10.0,,3.9,1.7,62.4,,4.8
2010/03/20,7.1,2.7,13.4,0.5,7.9,3.0,80.6,,7.1
2010/03/21,3.0,-0.8,6.8,,7.0,3.5,55.0,,4.2
2010/03/22,1.5,-0.2,5.0,11.5,3.4,0.9,87.3,5.5,1.1
2010/03/23,5.3,0.7,11.0,,3.3,1.0,84.5,4.9,4.8
2010/03/24,8.3,1.6,14.7,,4.7,1.6,66.1,,7.7
2010/03/25,5.7,0.9,10.1,0.5,6.8,2.8,53.8,,5.1
2010/03/26,3.0,-1.9,6.8,,7.2,3.1,50.3,,4.1
2010/03/27,5.1,2.1,8.0,,4.9,2.3,85.3,,4.3
2010/03/28,4.4,0.3,8.4,,5.2,2.3,55.1,,6.8
2010/03/29,5.4,-1.6,11.2,,4.4,1.9,50.4,,5.7
2010/03/30,8.2,0.8,14.7,,3.5,1.3,63.4,,8.2
2010/03/31,8.5,6.9,9.7,14.0,3.5,2.0,91.5,,8.3
2010/04/01,7.6,3.5,9.4,2.5,4.4,1.6,86.1,,7.6
2010/04/02,5.9,-0.4,11.6,,6.1,2.7,57.9,,7.7
2010/04/03,5.2,-0.2,9.8,,5.5,2.2,48.6,,7.1
2010/04/04,7.4,-0.6,16.1,,5.7,1.7,56.4,,8.3
2010/04/05,10.3,2.2,15.8,,3.3,1.2,69.9,,10.0
2010/04/06,8.3,4.8,12.4,0.1,6.8,2.7,69.0,,9.6
2010/04/07,7.0,1.8,12.6,,5.2,2.0,50.6,,8.7
2010/04/08,8.7,0.7,16.7,,5.7,1.5,57.1,,9.8
2010/04/09,11.3,4.0,17.9,,3.4,1.0,58.9,,11.8
2010/04/10,10.4,8.2,13.6,,3.6,1.2,73.9,,9.7
2010/04/11,13.9,5.3,20.0,0.0,5.4,2.4,59.9,,12.7
2010/04/12,14.1,9.3,19.6,6.0,6.5,2.8,61.3,,13.8
2010/04/13,5.1,3.1,9.5,1.0,8.5,5.3,61.1,,8.4
2010/04/14,4.8,1.6,7.7,,5.4,3.0,36.9,,5.4
2010/04/15,6.3,-0.8,13.0,,5.2,1.8,47.4,,8.5
2010/04/16,7.2,2.5,13.8,,4.9,1.8,58.3,,9.8
2010/04/17,7.3,1.1,13.2,,3.9,1.4,73.0,,9.9
2010/04/18,12.1,4.4,18.0,0.0,5.5,2.0,63.8,,10.8
2010/04/19,16.0,12.5,20.4,0.0,3.3,1.6,58.6,,12.8
2010/04/20,15.6,10.5,21.8,,4.4,1.5,77.9,,16.0
2010/04/21,14.7,9.9,20.4,4.5,5.7,2.5,74.6,,14.1
2010/04/22,11.2,9.0,13.2,3.0,4.5,2.2,76.0,,11.6
2010/04/23,10.4,7.8,14.8,5.5,6.2,2.2,76.5,,14.1
2010/04/24,10.8,4.3,17.5,,5.1,1.8,58.3,,13.0
2010/04/25,13.0,4.3,20.0,,3.5,1.2,49.6,,13.9
2010/04/26,12.5,9.5,18.2,20.5,4.9,2.2,73.8,,12.2
2010/04/27,8.1,4.6,11.4,3.5,7.6,3.8,80.5,,9.8
2010/04/28,5.3,3.3,7.6,9.0,7.0,3.3,86.0,,5.9
2010/04/29,8.9,4.5,12.8,3.0,5.9,3.2,70.9,,10.8
2010/04/30,9.6,6.0,14.5,,5.8,2.5,74.8,,12.4
2010/05/01,11.9,4.1,19.0,,4.5,1.9,64.3,,13.5
2010/05/02,16.7,6.8,24.4,,4.0,1.5,60.3,,16.2
2010/05/03,19.1,14.2,21.6,,5.1,2.3,82.6,,16.5
2010/05/04,20.4,16.2,26.6,,4.0,1.8,79.0,,19.4
2010/05/05,20.9,13.3,26.3,0.0,5.3,1.9,64.4,,18.8
2010/05/06,14.0,9.0,21.3,9.5,6.5,3.1,89.3,,15.6
2010/05/07,14.6,7.6,21.5,,5.4,2.0,62.9,,17.2
2010/05/08,16.1,9.9,22.8,,3.5,1.5,64.4,,18.4
2010/05/09,18.9,11.4,26.4,,3.9,1.2,55.9,,20.3
2010/05/10,15.5,11.5,20.7,0.0,4.8,2.5,66.5,,18.8
2010/05/11,13.0,8.6,18.8,0.0,6.6,2.0,71.9,,15.7
2010/05/12,13.6,8.0,19.6,,5.4,2.0,73.6,,17.7
2010/05/13,15.2,8.7,21.6,,4.4,1.4,67.4,,17.8
2010/05/14,17.0,9.5,24.7,,4.7,1.6,61.1,,19.6
2010/05/15,16.0,11.2,21.3,,4.8,1.4,64.3,,16.3
2010/05/16,17.0,10.0,23.9,,4.1,1.5,62.9,,19.4
2010/05/17,19.6,11.4,27.3,3.5,5.5,1.7,61.4,,21.4
2010/05/18,18.1,15.8,19.6,51.5,4.1,2.4,98.8,,18.0
2010/05/19,17.7,14.4,21.4,0.2,3.9,1.6,88.0,,19.6
2010/05/20,19.8,14.0,27.3,,4.2,1.8,76.6,,21.5
2010/05/21,21.5,14.3,29.8,,4.1,1.4,68.5,,22.3
2010/05/22,19.9,15.8,25.9,7.5,5.7,1.6,74.8,,19.9
2010/05/23,16.8,15.3,18.9,17.0,6.6,3.5,87.5,,16.6
2010/05/24,14.0,13.3,15.7,10.0,4.7,2.5,98.1,,15.8
2010/05/25,15.5,12.7,19.9,1.5,2.6,1.3,90.1,,17.0
2010/05/26,18.0,14.7,22.5,0.0,5.4,2.6,67.6,,19.2
2010/05/27,17.6,11.5,23.9,,4.6,2.2,60.5,,19.3
2010/05/28,16.1,12.8,19.8,,3.2,1.3,83.5,,17.9
2010/05/29,18.5,14.4,24.8,,3.8,1.3,76.8,,20.5
2010/05/30,19.1,13.8,24.8,,3.9,1.7,70.8,,20.4
2010/05/31,18.7,16.2,22.3,0.0,3.1,1.5,62.3,,19.3
2010/06/01,18.7,12.5,26.4,,4.1,1.8,54.4,,21.3
2010/06/02,20.0,12.7,27.0,,4.1,1.4,63.9,,22.6
2010/06/03,20.6,14.6,26.7,,4.5,1.8,67.5,,22.8
2010/06/04,21.1,14.7,27.9,,5.1,1.7,67.6,,23.2
2010/06/05,21.6,15.2,28.1,,4.2,1.5,65.6,,23.1
2010/06/06,24.3,16.3,30.9,,4.7,1.3,59.8,,24.3
2010/06/07,25.3,19.0,32.2,,4.7,1.7,57.3,,26.4
2010/06/08,25.0,17.5,31.5,,4.4,1.8,48.6,,25.7
2010/06/09,25.2,18.4,30.6,,3.3,1.4,53.3,,26.1
2010/06/10,25.1,19.5,32.7,,3.5,1.5,57.3,,24.8
2010/06/11,24.9,18.8,31.1,0.2,4.2,2.0,58.1,,25.5
2010/06/12,19.0,18.2,20.8,40.0,4.9,2.1,94.6,,20.6
2010/06/13,22.3,18.5,27.5,12.5,3.3,1.5,87.6,,23.2
2010/06/14,21.7,19.6,26.0,18.5,3.8,1.1,92.4,,22.4
2010/06/15,23.6,20.0,29.3,0.0,4.6,1.7,82.3,,25.8
2010/06/16,22.3,19.8,25.8,1.5,3.5,1.5,85.8,,23.7
2010/06/17,24.3,20.3,29.7,,2.4,1.0,79.3,,25.2
2010/06/18,26.8,23.5,31.8,0.0,3.9,1.7,74.0,,26.0
2010/06/19,23.6,21.6,26.3,9.0,3.7,1.7,84.8,,26.0
2010/06/20,22.5,19.5,26.7,10.5,4.0,1.9,87.5,,25.3
2010/06/21,21.4,17.5,27.7,0.0,3.7,1.4,83.4,,24.5
2010/06/22,21.7,16.6,26.0,0.0,3.9,1.5,63.8,,23.1
2010/06/23,23.1,16.9,29.2,,4.0,1.3,63.9,,25.5
2010/06/24,23.7,17.2,30.5,,4.3,1.3,67.1,,25.7
2010/06/25,26.7,18.4,33.3,,5.7,2.0,60.9,,26.2
2010/06/26,25.5,24.2,28.3,0.4,5.1,2.5,70.3,,25.3
2010/06/27,22.7,20.3,25.7,11.0,3.9,1.7,92.1,,23.7
2010/06/28,24.3,20.2,30.1,,4.4,1.5,80.1,,27.0
2010/06/29,23.6,20.1,27.3,0.0,3.1,1.1,84.8,,25.1
2010/06/30,23.2,21.2,25.5,12.5,2.6,0.9,90.0,,24.0
2010/07/01,25.9,22.5,29.2,,3.4,1.4,86.1,,27.2
2010/07/02,25.6,24.8,27.0,18.5,3.7,1.7,95.3,,25.6
2010/07/03,24.1,22.8,25.8,5.5,2.3,0.8,96.5,,25.1
2010/07/04,25.5,23.8,29.4,0.0,4.6,1.7,88.1,,26.6
2010/07/05,25.4,22.5,30.7,,4.5,1.9,87.1,,28.2
2010/07/06,26.3,22.1,31.7,0.0,4.3,1.9,74.3,,28.8
2010/07/07,24.9,21.8,29.2,0.0,4.7,2.0,76.9,,28.4
2010/07/08,24.4,20.9,29.2,2.0,4.3,1.3,75.6,,27.1
2010/07/09,25.3,21.1,30.5,,4.0,1.5,71.9,,27.5
2010/07/10,26.4,21.7,30.8,0.0,3.4,1.5,71.5,,27.4
2010/07/11,24.5,22.7,27.1,1.5,5.4,2.5,74.8,,24.8
2010/07/12,25.6,21.3,29.8,,3.4,1.6,71.5,,27.1
2010/07/13,26.4,22.4,31.7,1.0,4.5,1.8,74.3,,28.4
2010/07/14,25.7,22.3,29.5,,3.7,1.6,79.8,,27.4
2010/07/15,25.9,22.0,30.6,,3.7,1.5,78.4,,28.1
2010/07/16,24.9,23.7,28.2,70.0,4.3,2.2,91.0,,26.3
2010/07/17,24.2,23.4,25.0,54.0,4.8,2.0,98.1,,24.2
2010/07/18,26.9,24.0,31.1,1.0,5.6,2.3,83.9,,26.7
2010/07/19,27.7,24.7,31.8,,5.1,2.5,78.6,,28.5
2010/07/20,29.2,24.6,33.4,,4.9,2.2,73.6,,29.8
2010/07/21,28.3,26.1,31.3,0.0,5.0,3.0,75.8,,27.8
2010/07/22,27.4,25.3,30.9,0.1,4.5,2.4,83.5,,27.6
2010/07/23,23.8,21.2,26.1,52.0,4.7,1.8,95.3,,24.2
2010/07/24,25.8,22.6,30.1,1.0,3.0,1.3,88.0,,26.7
2010/07/25,25.9,23.9,29.9,0.0,4.0,1.7,86.0,,28.5
2010/07/26,26.2,23.8,29.8,0.2,4.5,1.9,86.1,,28.2
2010/07/27,27.2,23.9,31.7,,4.3,1.7,80.3,,29.0
2010/07/28,27.0,23.9,30.5,,5.3,2.4,79.3,,27.4
2010/07/29,27.0,25.1,30.7,0.0,4.1,1.6,82.8,,28.6
2010/07/30,26.7,24.9,29.9,,3.6,1.4,83.6,,28.1
2010/07/31,26.8,24.1,30.7,,4.2,1.6,88.0,,27.1
