도로노선명,도로노선방향,설치장소명,단속구분,설치위치_경도,설치위치_위도
궐리사로,양방향,궐동-법원앞(법원사거리),불법주정차,127.0593574,37.159313399999995
역광장로,양방향,원동-오산역광장,불법주정차,127.06779640000002,37.1454094
궐리사로,양방향,궐동-제일하이빌,불법주정차,127.06238570000001,37.159197799999994
궐리사로,양방향,궐리사 주차장 앞,불법주정차,127.0619202,37.1585588
운암로,양방향,부산동-운천초교 입구,불법주정차,127.07799080000001,37.1562159
오산로,양방향,원동-컨벤션웨딩홀,불법주정차,127.06831570000001,37.1435473
경기대로,양방향,오산동-KT후문,불법주정차,127.07417779999999,37.1538045
대원로,양방향,원동-국민은행,불법주정차,127.0754977,37.14526420000001
양산로,양방향,양산동-한신대 앞 사거리,불법주정차,127.02297140000002,37.1962677
경기대로,양방향,원동 농협앞 건너편,불법주정차,127.073774,37.1379969
오산로,양방향,오산동-오산로(대원약국),불법주정차,127.0688269,37.1537248
궐리사로,양방향,궐리사 정문앞,불법주정차,127.06203070000001,37.158905700000005
청학로,양방향,오산대 후문 3거리(청학로),불법주정차,127.06502720000002,37.1564829
운천로165번길,양방향,운암2단지 근린공원삼거리,불법주정차,127.07727560000001,37.158098100000004
경기대로,양방향,원동-이마트,불법주정차,127.0737855,37.1416672
성호대로,양방향,우리은행 시청점 사거리,불법주정차,127.0748137,37.1484605
대원로15번길,양방향,중앙동-성심약국,불법주정차,127.06990590000001,37.1485321
운암로,양방향,중앙동 시청후문,불법주정차,127.075441,37.150748799999995
운천로,양방향,오산동-양일교회,불법주정차,127.07427959999998,37.1509083
오산로,양방향,대원동-동규약국,불법주정차,127.0742219,37.14647670000001
대원로,양방향,우먼필 산부인과 부근,불법주정차,127.07179609999999,37.1460391
성호대로,양방향,중앙동-세명프라자,불법주정차,127.0713949,37.149108700000006
운암로,양방향,대원동-오산지구대,불법주정차,127.0759792,37.1476902
오산로,양방향,궐동-평화교회,불법주정차,127.06590049999998,37.1604411
오산로,양방향,원동초교 한솔아파트정문,불법주정차,127.08945049999998,37.1371515
성호대로,양방향,남촌동-남촌대교,불법주정차,127.0639997,37.1496912
오산로50번길,양방향,갈곶동-스위첸 정문앞 사거리,불법주정차,127.06841829999999,37.131138899999996
청호로,양방향,청호-자이아파트1단지 후문앞,불법주정차,127.0822459,37.12988970000001
오산로272번길,양방향,오색시장,불법주정차,127.07169740000002,37.1509755
오산로132번길,양방향,원일초교앞 부근,불법주정차,127.07135659999999,37.1394486
수청로,양방향,세교-5단지 롯데슈퍼,불법주정차,127.04800209999999,37.177110799999994
수청로,양방향,세교-5단지 사거리,불법주정차,127.0453728,37.177594899999995
밀머리로1번길,양방향,한국병원부근,불법주정차,127.07640430000001,37.141894
누읍로,양방향,한라아파트정문,불법주정차,127.0495223,37.142196899999995
세마역로,양방향,세마역앞,불법주정차,127.04196270000001,37.1871286
수청로,양방향,금암동침례교회사거리,불법주정차,127.04586270000001,37.1773335
세마역로41번길,양방향,세마타워뒤,불법주정차,127.05345249999999,37.1624617
수청로,양방향,주공8단지입구,불법주정차,127.04612649999999,37.179639200000004
수목원로,양방향,세마타워앞,불법주정차,127.04212460000001,37.185563200000004
오산로160번길,양방향,대림1단지상가,불법주정차,127.06961159999999,37.1414101
궐리사로29번길,양방향,대호중앞,불법주정차,127.05716699999999,37.161180200000004
세마역로,양방향,세마역삼거리,불법주정차,127.04481740000001,37.18470192
운암로,양방향,운산초사거리,불법주정차,127.0776814,37.152771200000004
경기대로,양방향,힐스테이트아파트 앞,불법주정차,127.07324409999998,37.1313327
궐리사로,양방향,센트하임삼거리,불법주정차,127.0534804,37.159859600000004
수목원로,양방향,궐동 가장수목원로,불법주정차,127.05312430000001,37.156273
수목원로,양방향,세마1단지 사거리,불법주정차,127.0539261,37.160416399999995
수목원로,양방향,광성초교 앞,불법주정차,127.0398682,37.184196899999996
수목원로,양방향,세마9단지 후문 앞,불법주정차,127.04998710000001,37.17527482
수목원로,양방향,13단지 생태통로앞,불법주정차,127.0507388,37.17451761
청학로,양방향,우미아파트앞 도로,불법주정차,127.06001670000002,37.171807
내삼미로,양방향,유시티상황실 사거리,불법주정차,127.06673729999999,37.16934122
내삼미로,양방향,물향기지하도 사거리,불법주정차,127.06686029999999,37.17095224
내삼미로,양방향,화성초교 삼거리,불법주정차,127.0678084,37.1652518
대호로,양방향,골드파크 사거리,불법주정차,127.0544575,37.1579714
은여울로,양방향,은계동 - 오산침례교회,불법주정차,127.06997959999998,37.1579555
대호로,양방향,궐동 608-2 삼거리,불법주정차,127.05328229999999,37.1636435
수청로50번길,양방향,내삼미동 임마누엘교회 옆,불법주정차,127.05653410000001,37.17604779999999
수청로,양방향,우미아파트 교촌치킨 코너,불법주정차,127.05744229999999,37.175456700000005
현충로,양방향,은계동 장가네 추어탕 앞,불법주정차,127.07177920000001,37.1628878
현충로,양방향,은계동 콩미가,불법주정차,127.0744696,37.162473600000006
대호로62번길,양방향,궐동 한국야쿠르트 앞,불법주정차,127.05479479999998,37.157283
대호로62번길,양방향,궐동 한성빌리지 공영주차장,불법주정차,127.05604309999998,37.156670299999995
법원로,양방향,궐동 양평해장국 사거리,불법주정차,127.0568392,37.1557521
경기대로148번길,양방향,원동 공룡국수 옆 사거리,불법주정차,127.0749683,37.137962
운천로,양방향,운암고 돌고래포차 앞,불법주정차,127.07414240000001,37.1442417
오산로62번길,양방향,갈곶동 지혜약국 골목 삼거리,불법주정차,127.0695476,37.1320219
가장로,양방향,궐동 노틀담수녀원 옆,불법주정차,127.0562588,37.1537164
매홀로,양방향,궐동 매홀초 앞 사거리,불법주정차,127.061872,37.1629125
오산로,양방향,갈곶동 kcc일방통행 코너,불법주정차,127.06838429999999,37.13284018
현충로,양방향,현충탑 연신빌라 삼거리,불법주정차,127.0694871,37.1634231
내삼미로,양방향,호반정문,불법주정차,127.0662425,37.17522720000001
내삼미로,양방향,호반후문,불법주정차,127.0677697,37.1757304
운천로,양방향,오산시청 운암4단지 후문 앞,불법주정차,127.075414,37.14963579999999
수청로,양방향,세교 본초한의원 앞,불법주정차,127.0455794,37.17675070000001
대호로71번길,양방향,GS25 궐동 대호점 맞은편,불법주정차,127.0535347,37.1583074
대호로71번길,양방향,센트하임 앞,불법주정차,127.0546127,37.163002
대호로71번길,양방향,GS25 궐동 승리점 앞,불법주정차,127.0535606,37.1563144
대호로,양방향,GS25 오산타운점 맞은편,불법주정차,127.05388049999999,37.1621777
오산대역로132번길,양방향,뽕차이 주면,불법주정차,127.0595491,37.16913961
오산대역로132번길,양방향,공영주차장 주면,불법주정차,127.06011699999999,37.16967636
부산중앙로,양방향,시티자이 108동 삼거리,불법주정차,127.0889463,37.15073601
부산중앙로,양방향,시티자이 1단지 후문앞,불법주정차,127.09074299999999,37.15091126
부산중앙로,양방향,시티자이 201동 정문앞,불법주정차,127.0915706,37.15016094
부산중앙로,양방향,시티자이 309동 건너편,불법주정차,127.0909642,37.15135441
부산중앙로,양방향,다온초등학교 앞,불법주정차,127.0908929,37.1519816
세마문학로,양방향,지곶동대림입구,불법주정차,127.028245,37.171135
세마문학로,양방향,지곶동 대림 정문삼거리,불법주정차,127.026424,37.169523
세마문학로,양방향,지곶동 대림 후문삼거리,불법주정차,127.02779699999999,37.170392
삼미로,양방향,세교자이삼거리,불법주정차,127.062597,37.176271
삼미로,양방향,세교자이후문,불법주정차,127.064053,37.176117
대원로,양방향,아이러브안경,불법주정차,127.069994,37.146315
청학로,양방향,대우A(뚜레주르앞),불법주정차,127.062405,37.164004999999996
청학로,양방향,오산대정문,불법주정차,127.063277,37.153052
부원로87번길,양방향,한양수자인 삼거리,불법주정차,127.085559,37.141524
부원로87번길,양방향,한양수자인 입구,불법주정차,127.087718,37.141415
현충로,양방향,푸르지오 보건소 옆,불법주정차,127.078111,37.159769
현충로,양방향,푸르지오 정문,불법주정차,127.080601,37.160588700000005
원동로,양방향,유탑유블러스 남측,불법주정차,127.07194199999999,37.141494
원동로,양방향,유탑유블러스 북측,불법주정차,127.07256399999999,37.142084000000004
원동로,양방향,CGV 오산중앙,불법주정차,127.070623,37.142429
청학로,양방향,오산대역 입구,불법주정차,127.0613504,37.169868
청학로,양방향,홈플러스 앞 사거리,불법주정차,127.062472,37.169651
북삼미로,양방향,더?? 후문 삼거리,불법주정차,127.061191,37.193033
북삼미로,양방향,더?? 후문 입구,불법주정차,127.062122,37.193467
문시로,양방향,더?? 정문 삼거리,불법주정차,127.06712399999999,37.190757
문시로,양방향,더?? 정문 입구,불법주정차,127.065817,37.191759000000005
경기동로186번길,양방향,시티자이2차 아파트 앞,불법주정차,127.09194099999999,37.154632
역광장로,양방향,오원사거리,불법주정차,127.068303,37.142519
청학로,양방향,차량등록사업소,불법주정차,127.0642868,37.158196999999994
수목원로468번길,양방향,세교9단지 후문 상가도로,불법주정차,127.05071399999999,37.175948999999996
원동로,양방향,운암고등학교,불법주정차,127.074068,37.143045
