표지일련번호,표지종별,lon,lat
ER-400[봉담동탄고속도로]-상-60,2방향예고표지,127.0692275,37.18266345
NR-1[경기대로]-하-1982,시/군계표지,127.0408262,37.19785946
UR(오산시)-16[남부대로]-상-5,3방향도로명예고표지,127.0702161,37.13592905
UR(오산시)-16[남부대로]-하-3,3방향표지,127.0643158,37.13553135
UR(오산시)-16[남부대로]-하-4,3방향예고표지,127.0517168,37.13424755
UR(오산시)-[운천로]-상-6,3방향도로명표지,127.0744895,37.1460525
UR(오산시)-[운천로]-상-8,3방향도로명표지,127.0746224,37.14859603
UR(오산시)-[운천로]-하-7,2방향표지,127.0743137,37.14317816
UR(오산시)-16[남부대로]-하-8,3방향도로명표지,127.0691227,37.13590731
ER-1[경부고속도로]-하-1333,200m 출구감속표지,127.0849764,37.1528961
ER-1[경부고속도로]-하-1334,300m 출구감속표지,127.0855902,37.15422923
ER-1[경부고속도로]-상-1431,2방향표지,127.0810308,37.14310253
ER-1[경부고속도로]-상-1435,300m 출구감속표지,127.0865618,37.13697159
ER-1[경부고속도로]-상-1437,小형_휴게소(예고)표지,127.0848901,37.1420591
ER-1[경부고속도로]-상-1438,小형_휴게소(예고)표지,127.083565,37.14676271
ER-1[경부고속도로]-상-1432,2방향표지,127.0824177,37.14324577
ER-1[경부고속도로]-상-1433,100m 출구감속표지,127.0857811,37.13937975
ER-1[경부고속도로]-상-1434,200m 출구감속표지,127.0862119,37.13808914
ER-1[경부고속도로]-상-1457,미분류,127.0874341,37.13568764
ER-1[경부고속도로]-상-1458,미분류,127.0856454,37.13977358
ER-1[경부고속도로]-상-1459,미분류,127.0850412,37.14169501
ER-1[경부고속도로]-상-1460,미분류,127.0844439,37.14996587
ER-1[경부고속도로]-상-1462,미분류,127.0847992,37.15146199
ER-1[경부고속도로]-상-1463,미분류,127.0886609,37.15963363
RR-82[경기동로]-상-180,3방향예고표지,127.0897476,37.15879699
UR(오산시)-[성호대로]-상-9,3방향도로명예고표지,127.0811235,37.14860574
UR(오산시)-[성호대로]-상-8,3방향도로명표지,127.0785905,37.1487171
ER-400[봉담동탄고속도로]-상-59,종합휴게소2차예고표지,127.0642258,37.18379851
ER-400[봉담동탄고속도로]-하-37,출구점예고표지(2지명)_150m예고,127.0542321,37.18302621
ER-400[봉담동탄고속도로]-하-42,단일노선표지,127.0691256,37.18240581
UR(화성시)-[독산성로]-상-1,시/군계표지,127.0086036,37.18575092
UR(화성시)-[문시로]-상-12,시/군계표지,127.0684302,37.19062107
ER-1[경부고속도로]-상-1376,분기점표지,127.0884027,37.15906852
ER-1[경부고속도로]-하-1332,100m 출구감속표지,127.0842092,37.15131078
UR(평택시)-[엘지로]-하-19,2방향표지,127.0864628,37.12699604
UR(화성시)-[문시로]-하-23,3방향표지,127.0685819,37.19068483
ER-400[봉담동탄고속도로]-상-79,2방향표지,126.9998164,37.17584713
ER-400[봉담동탄고속도로]-상-80,2방향표지,127.0010728,37.17519504
ER-17[평택화성고속도로]-하-103,2방향표지,126.9979827,37.17596255
ER-17[평택화성고속도로]-하-102,1방향예고표지,126.9984835,37.1769679
ER-17[평택화성고속도로]-하-99,1방향표지,127.0039421,37.18229356
ER-17[평택화성고속도로]-하-98,3방향1차예고표지,127.0111084,37.19128698
ER-17[평택화성고속도로]-상-100,종점표지,127.0122888,37.19282886
UR(화성시)-[한신대길]-하-6,3방향표지,127.0230978,37.19620747
UR(화성시)-[태안로]-상-46,하천표지,127.0371362,37.19975219
ER-400[봉담동탄고속도로]-하-38,출구점표지(2지명),127.0554936,37.18333202
ER-400[봉담동탄고속도로]-상-55,나가는곳표지,127.058118,37.18400661
UR(평택시)-[남부대로]-상-8,2방향예고표지,127.0888597,37.12873126
ER-400[봉담동탄고속도로]-상-67,돌아가는길표지,127.0552963,37.18562412
ER-400[봉담동탄고속도로]-상-68,2지명방향표지,127.0540756,37.18807288
ER-400[봉담동탄고속도로]-상-69,매표소표지,127.0538199,37.18805382
ER-17[평택화성고속도로]-하-94,2지명방향표지,126.9965736,37.17579266
RR-82[경기동로]-하-188,3방향표지,127.0829895,37.15967742
ER-17[평택화성고속도로]-상-86,2방향표지,126.9980507,37.17470587
ER-17[평택화성고속도로]-상-93,매표소표지,126.9980765,37.17528883
UR(화성시)-[독산성로]-하-3,읍/면/동계표지,127.0084207,37.1857133
UR(화성시)-[독산성로]-하-2,시/군계표지,127.0086036,37.18575092
ER-17[평택화성고속도로]-상-88,1방향표지,127.0069284,37.18440707
ER-17[평택화성고속도로]-상-91,1방향표지,127.0121723,37.19266033
ER-400[봉담동탄고속도로]-상-104,출구점예고표지(2지명)_150m예고,127.0633301,37.18395616
ER-400[봉담동탄고속도로]-상-36,2방향표지,127.0558864,37.18481463
ER-400[봉담동탄고속도로]-하-12,매표소표지,127.0575053,37.18284505
ER-400[봉담동탄고속도로]-상-37,매표소표지,127.0537322,37.1883479
ER-400[봉담동탄고속도로]-상-57,1지명이정표지,127.0636144,37.1838945
ER-17[평택화성고속도로]-하-95,3방향2차예고표지,127.0050203,37.18324454
NR-1[경기대로]-하-1983,미분류,127.0409369,37.19787639
ER-400[봉담동탄고속도로]-상-72,2방향2차예고표지,127.0123786,37.17092687
ER-400[봉담동탄고속도로]-상-71,3방향표지,127.006688,37.17237812
ER-400[봉담동탄고속도로]-상-70,2방향2차예고표지,127.0047942,37.17323392
ER-400[봉담동탄고속도로]-하-52,종합휴게소3차예고표지,127.0296054,37.17460948
ER-400[봉담동탄고속도로]-하-53,1방향예고표지,127.0355842,37.17676567
ER-400[봉담동탄고속도로]-하-54,1방향예고표지,127.0519838,37.18222703
ER-400[봉담동탄고속도로]-상-78,종합휴게소1차예고표지,127.0518037,37.18238569
ER-400[봉담동탄고속도로]-상-77,단일노선표지,127.0457304,37.18031203
ER-400[봉담동탄고속도로]-상-76,종합휴게소2차예고표지,127.0454601,37.18024005
ER-400[봉담동탄고속도로]-상-75,분기점표지,127.0294946,37.17481679
ER-400[봉담동탄고속도로]-상-74,2방향1차예고표지,127.0236706,37.17265762
ER-400[봉담동탄고속도로]-상-73,분기점표지,127.0196444,37.17142455
ER-400[봉담동탄고속도로]-상-58,분기점표지,127.0631546,37.18379777
ER-400[봉담동탄고속도로]-하-49,단일노선표지,127.0106739,37.17102276
ER-400[봉담동탄고속도로]-하-51,종합휴게소2차예고표지,127.0238783,37.17240828
NR-1[경기대로]-상-1517,3방향예고표지,127.0738223,37.15345379
NR-1[경기대로]-상-1025,3방향표지,127.0433132,37.19419973
NR-1[경기대로]-상-1013,2방향표지,127.0559052,37.1790761
NR-1[경기대로]-상-1015,3방향예고표지,127.0474484,37.18681323
NR-1[경기대로]-상-1515,3방향도로명표지,127.0735168,37.14241216
RR-82[성호대로]-하-1,3방향예고표지,127.0638233,37.14937075
RR-310[가장로]-상-173,2방향표지,127.0452557,37.15644053
RR-82[성호대로]-상-1,3방향예고표지,127.0638233,37.14937075
NR-1[경기대로]-하-67,3방향표지,127.0459678,37.18964041
NR-1[경기대로]-하-73,3방향예고표지,127.0734082,37.14665618
RR-310[가장로]-하-143,시/군계표지,127.0281137,37.16131873
RR-310[밀머리로]-하-1,2방향예고표지,127.0808971,37.13629756
RR-310[밀머리로]-상-3,3방향표지,127.0760513,37.13761668
RR-310[밀머리로]-하-3,3방향예고표지,127.0749988,37.13853673
RR-310[밀머리로]-상-1,3방향표지,127.0760513,37.13761668
NR-1[경기대로]-하-66,3방향예고표지,127.0449555,37.1920736
NR-1[경기대로]-상-1513,3방향표지,127.0735323,37.14115045
NR-1[경기대로]-상-1512,3방향도로명표지,127.0730104,37.13563916
NR-1[경기대로]-하-828,3방향예고표지,127.0703799,37.15889472
RR-82-상-1,분기점표지,127.0737777,37.150921
NR-1[경기대로]-상-1487,3방향표지,127.0463053,37.18888341
NR-1[경기대로]-상-1521,관광지표지(사설 관광지표지 제외),127.0473141,37.18734326
NR-1[경기대로]-상-1518,분기점표지,127.0733347,37.15493929
NR-1[경기대로]-상-1506,2지명이정표지,127.0722454,37.13091455
NR-1[경기대로]-상-1508,시/군계표지,127.0726864,37.13382513
NR-1[경기대로]-하-1334,관광지표지(사설 관광지표지 제외),127.0459156,37.19130745
NR-1[경기대로]-상-997,3방향예고표지,127.073599,37.14606137
NR-1[경기대로]-상-990,3방향예고표지,127.0735278,37.13885204
NR-1[경기대로]-상-989,미분류,127.0729878,37.13575655
NR-1[경기대로]-상-983,미분류방향표지,127.0721785,37.13123086
NR-1[경기대로]-상-985,3방향예고표지,127.0724689,37.13273245
NR-1[경기대로]-상-1031,시/군계표지,127.0414041,37.19741336
RR-310[밀머리로]-하-4,3방향표지,127.0737185,37.14144791
NR-1[경기대로]-상-1505,시/군계표지,127.0686599,37.12806405
NR-1[경기대로]-하-1339,분기점표지,127.0696007,37.15987115
NR-1[경기대로]-상-2291,하천표지,127.071237,37.15778187
NR-1[경기대로]-하-1341,분기점표지,127.0717374,37.15721225
RR-310[가장로]-상-161,시/군계표지,127.0281137,37.16131873
RR-310[가장로]-하-148,3방향예고표지,127.0578018,37.15178772
RR-310[가장로]-상-158,3방향표지,127.0607251,37.14995914
UR(오산시)-[성호대로]-상-7,3방향도로명표지,127.0739648,37.14892899
RR-310[밀머리로]-상-2,3방향표지,127.0737185,37.14144791
RR-82[경기동로]-하-35,3방향표지,127.0839966,37.15895739
RR-82[경기동로]-하-37,3방향도로명표지,127.0789668,37.15902742
RR-82[발안로]-상-38,2방향표지,127.0361186,37.1367742
RR-82[공사중도로(20191217)]-상-1,3방향예고표지,127.0547742,37.14603764
UR(오산시)-[황새로]-상-1,3방향표지,127.0616204,37.14900734
RR-82[경기동로]-상-44,3방향표지,127.0811085,37.15891431
RR-82[경기동로]-하-39,3방향표지,127.0736536,37.15636938
RR-82[감투로]-하-1,3방향표지,127.0609065,37.14963824
RR-82[발안로]-하-48,미분류,127.0361147,37.13704732
