CCTV 유형코드,설치위치_도로명주소,설치위치_위도,설치위치_경도
A,성호대로55번길 31-2,37.151836,127.06754099999999
A,성호대로93번길 45,37.152812,127.071702
C,성호대로93번길 26,37.151167,127.07167700000001
A,운천로165번길 52-1,37.157164,127.07599099999999
A,운천로165번길 5,37.156461,127.07727299999999
A,오산로 63,37.132458,127.06895700000001
A,성호대로33번길 16-7,37.151525,127.06588700000002
C,성산새싹길 13,37.150370,127.065719
A,성호대로40번길 10,37.148432,127.065522
A,궐동로69번길 38,37.158049,127.064233
A,궐동로69번길 9,37.157150,127.062397
A,궐리사로 92,37.158025,127.062381
A,궐동로 43,37.157584,127.059023
A,궐리사로46번길 60-13,37.159524,127.055925
A,법원로15번길 38,37.155792,127.05342399999999
C,현충로72번길 24,37.160448,127.07323899999999
A,오산로 298-1,37.153541,127.06878600000002
C,성호새싹길 8,37.149657,127.070278
A,운천로 154,37.156077,127.07591200000002
A,부원로 67-6,37.142939,127.086148
A,밀머리 45,37.137802,127.075148
A,밀머리로 101,37.136143,127.081281
C,대원로29번길 16,37.147547,127.07151200000001
A,오산로212번길 15,37.145807,127.070007
A,성호대로 26-7,37.148437,127.064452
A,,37.147976,127.06658300000001
A,오산로358번길 11,37.158861,127.06804699999999
A,궐리사로 81,37.158543,127.061117
A,궐동로69번길 18,37.156788,127.06340300000001
A,궐동로 21,37.158224,127.05658500000001
A,청학로 125,37.160053,127.064241
A,청학로147번길 45,37.163724,127.06051799999999
A,발안로 1354,37.141273,127.04720900000001
C,시장58번길 10,37.154019,127.07021999999999
A,오산로289번길 16,37.153763,127.067929
A,대원로 2,37.146268,127.06856499999999
B,오산로132번길 28,37.138159,127.071475
B,오산로62번길 15-10,37.131757,127.071027
C,,37.134909,127.068785
A,궐리사로29번길 26,37.161404,127.057271
A,법원로15번길 15-11,37.155063,127.05492
C,궐리사로46번길 3,37.159277,127.057249
A,,37.152953,127.058232
A,현충로 13-7,37.163670,127.06978000000001
A,수청로 30-13,37.173000,127.05966399999998
C,수청로8번길 3-1,37.171089,127.058773
A,,37.161266,127.069526
C,가수로 50,37.147591,127.04691299999999
A,,37.160471,127.057304
A,궐리사로29번길 48,37.159979,127.059271
C,운암로 113,37.156356,127.07826999999999
A,오산로 13,37.128109,127.066877
A,절골길 3,37.144220,127.085195
C,운천로 16-21,37.144328,127.076017
C,성산새싹16번길 12,37.150434,127.067171
A,청학로17번길 31 ,37.152515,127.060382
A,청학로5번길 12,37.150902,127.060693
A,내삼미로48번길 21-12,37.167671,127.069359
A,,37.165699,127.06966899999999
C,내삼미로 23,37.164119,127.06793799999998
A,,37.140195,127.03997
C,,37.143950,127.04939499999999
A,,37.162343,127.05775
C,양산로 448,37.197020,127.03289299999999
A,,37.144435,127.05250500000001
B,경기대로281번길 25,37.151517,127.07245800000001
B,운천로 154,37.155726,127.07613899999998
B,,37.158487,127.079407
B,운암로 82,37.153640,127.077525
B,,37.130558,127.06728400000001
B,,37.148063,127.076959
B,궐동로69번길 73-8,37.158011,127.06002600000001
A,대호로62번길 14,37.157297,127.05660400000001
B,가장산업동로 28-20,37.161734,127.04003
B,청학로173번길 36,37.163919,127.05966000000001
