,0,1,2
,,,
0,204131.9312,410086.7776,2.01E+15
,,,
1,206778.8103,405564.9391,2.01E+15
,,,
2,204537.4148,405091.9449,2.01E+15
,,,
3,206996.2089,406644.5132,2.01E+15
,,,
4,205399.6045,406639.0983,2.01E+15
,,,
5,206562.3876,404869.5231,2.01E+15
,,,
6,206880.6014,406181.7203,2.01E+15
,,,
7,203284.1339,409416.0435,2.01E+15
,,,
8,205160.127,405952.5651,2.01E+15
,,,
9,206200.5644,407655.7217,2.01E+15
,,,
10,205047.2002,405360.7363,2.01E+15
,,,
11,205706.7123,406641.7175,2.01E+15
,,,
12,204014.8305,404784.0709,2.01E+15
,,,
13,206559.6726,406144.0144,2.01E+15
,,,
14,206362.2323,405263.6251,2.01E+15
,,,
15,205180.2836,408201.5603,2.01E+15
,,,
16,212012.4958,396331.7917,2.01E+15
,,,
17,206371.0285,406252.0634,2.01E+15
,,,
18,206739.5847,406364.0497,2.01E+15
,,,
19,206065.2057,406195.4297,2.01E+15
,,,
20,206279.0909,406043.4963,2.01E+15
,,,
21,206542.8972,405530.6827,2.01E+15
,,,
22,207770.5736,403406.3043,2.01E+15
,,,
23,206267.3759,406747.7138,2.01E+15
,,,
24,203835.7014,410108.2241,2.01E+15
,,,
25,206536.7089,404996.4382,2.01E+15
,,,
26,205932.339,407678.317,2.01E+15
,,,
27,204638.859,406343.9734,2.01E+15
,,,
28,207325.5362,406607.2336,2.01E+15
,,,
29,203338.8511,409663.4293,2.01E+15
,,,
30,205504.8488,406600.6376,2.01E+15
,,,
31,206610.3765,405254.9288,2.01E+15
,,,
32,206943.6577,405226.6731,2.01E+15
,,,
33,206223.7426,405536.0035,2.01E+15
,,,
34,203340.9626,409642.4322,2.01E+15
,,,
35,206146.4794,407857.5166,2.01E+15
,,,
36,205289.5784,408533.2675,2.01E+15
,,,
37,206083.4128,405398.2097,2.01E+15
,,,
38,183498.9715,460656.7892,2.01E+15
,,,
39,205632.1092,404662.5412,2.01E+15
,,,
40,206930.3828,405467.6989,2.01E+15
,,,
41,206520.1993,404712.2384,2.01E+15
,,,
42,206357.6534,404993.4938,2.01E+15
,,,
43,206569.1912,406236.1011,2.01E+15
,,,
44,206135.578,403851.8717,2.01E+15
,,,
45,206545.1943,406043.8984,2.01E+15
