,0,1,2
,,,
0,204487.1644,408361.9702,2.02E+15
,,,
1,204436.4603,408491.7542,2.02E+15
,,,
2,207333.5873,404130.2912,2.02E+15
,,,
3,206850.2121,406063.5132,2.02E+15
,,,
4,203436.6864,409701.9603,2.02E+15
,,,
5,204776.7447,406565.7874,2.02E+15
,,,
6,206775.0165,406664.3556,2.02E+15
,,,
7,206852.3183,406043.5164,2.02E+15
,,,
8,206733.162,404735.3693,2.02E+15
,,,
9,205424.6353,407204.4538,2.02E+15
,,,
10,207230.7926,403893.6558,2.02E+15
,,,
11,202891.6297,409672.0747,2.02E+15
,,,
12,206525.938,404762.2885,2.02E+15
,,,
13,207625.2196,403462.5613,2.02E+15
,,,
14,204498.3003,408337.0191,2.02E+15
,,,
15,206488.1409,403581.6211,2.02E+15
,,,
16,206484.7866,406875.9102,2.02E+15
,,,
17,205033.8444,406566.1422,2.02E+15
,,,
18,203836.6999,409349.9307,2.02E+15
,,,
19,206785.4056,405832.0799,2.02E+15
,,,
20,204695.7433,408647.1823,2.02E+15
,,,
21,204655.8152,407871.6657,2.02E+15
,,,
22,204984.2544,410089.2729,2.02E+15
,,,
23,206243.5937,404426.6684,2.02E+15
,,,
24,204457.679,408451.8503,2.02E+15
,,,
25,203122.6666,409682.2969,2.02E+15
,,,
26,203123.7206,410051.4475,2.02E+15
,,,
27,206270.9206,405126.0896,2.02E+15
,,,
28,200586.6017,408178.3385,2.02E+15
,,,
29,206371.1762,406224.0531,2.02E+15
,,,
30,205801.6808,407034.3734,2.02E+15
,,,
31,207098.9733,405937.7738,2.02E+15
,,,
32,205632.899,410015.664,2.02E+15
,,,
33,206857.2674,406053.5464,2.02E+15
,,,
34,206944.5263,405251.6876,2.02E+15
,,,
35,206871.0377,406477.7874,2.02E+15
,,,
36,206614.8868,405538.0649,2.02E+15
,,,
37,206118.0738,403376.5912,2.02E+15
,,,
38,206619.9519,405526.0868,2.02E+15
,,,
39,206910.5863,405427.5787,2.02E+15
,,,
40,206944.9188,406316.1125,2.02E+15
,,,
41,206301.7502,405540.4162,2.02E+15
,,,
42,205455.4779,408375.0794,2.02E+15
,,,
43,206087.2443,405620.3179,2.02E+15
,,,
44,206997.1671,406652.5214,2.02E+15
,,,
45,206539.8346,404403.2193,2.02E+15
,,,
46,206533.2321,405276.531,2.02E+15
,,,
47,206186.2458,406766.2937,2.02E+15
,,,
48,206422.9443,404373.5919,2.02E+15
,,,
49,206965.9351,404226.3932,2.02E+15
,,,
50,204107.4018,404682.5184,2.02E+15
,,,
51,206536.297,404315.1657,2.02E+15
,,,
52,206251.9055,406266.4415,2.02E+15
,,,
53,205613.9026,410013.563,2.02E+15
,,,
54,207380.0075,405383.0338,2.02E+15
,,,
55,204909.8874,407877.0069,2.02E+15
,,,
56,207475.5105,405484.5773,2.02E+15
,,,
57,203810.2714,409618.8973,2.02E+15
,,,
58,205719.1528,406748.8255,2.02E+15
,,,
59,204286.7342,408238.8652,2.02E+15
,,,
60,203861.5691,410514.5205,2.02E+15
,,,
61,206551.6408,405769.8237,2.02E+15
,,,
