상세도로망_LinkID,도로등급,링크길이,도로명,시도명,시군구명,읍면동명,시간적범위,평일주말,혼잡시간강도
57125499201,101,1.238,경부고속도로,경기도,오산시,대원동,전일,평일,59.66
57125499001,101,1.335,경부고속도로,경기도,오산시,대원동,전일,평일,77.13
57137697901,101,0.093,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,50.79
57135249601,101,0.324,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,99.75
57135250601,101,0.333,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,99.99
57137696601,101,0.372,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,36.84
57135252201,101,0.457,오산화성고속도로,경기도,오산시,세마동,전일,평일,93.95
57135251801,101,0.522,오산화성고속도로,경기도,오산시,세마동,전일,평일,91.48
57137697701,101,0.667,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,49.78
57135244801,101,0.901,오산화성고속도로,경기도,오산시,세마동,전일,평일,83.42
57135245201,101,1.177,오산화성고속도로,경기도,오산시,세마동,전일,평일,81.38
57135251001,101,3.16,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,46.04
57135249001,101,3.171,수도권제2순환고속도로(봉담동탄,경기도,오산시,세마동,전일,평일,40
57137698301,101,0.093,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,55.88
57135250801,101,0.32,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,99.8
57135249401,101,0.322,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,100
57135251201,101,0.472,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,43.78
57135250001,101,0.478,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,49.85
57137697801,101,0.62,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,58.13
57137698101,101,0.643,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,56.7
57135246401,101,0.934,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,49.64
57137698201,101,0.936,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,59.99
57135246801,101,1.062,수도권제2순환고속도로(봉담동탄,경기도,오산시,신장동,전일,평일,57.38
