업종구분명,교습과정명,시설위치_경도,시설위치_위도
교습소,음악,127.0489187,37.1462791
교습소,미술,127.0489187,37.1462791
교습소,보습,127.052419,37.14580915
학교교과교습학원,"종합(국,수,사,과,논술)",127.0489187,37.1462791
학교교과교습학원,피아노(체르니40이상),127.0489187,37.1462791
학교교과교습학원,"관현악(바이올린,플룻)",127.0489187,37.1462791
학교교과교습학원,피아노(바이엘),127.0489187,37.1462791
학교교과교습학원,수학(고등),127.0460267,37.14755968
학교교과교습학원,영어,127.0489187,37.1462791
학교교과교습학원,피아노(체르니100),127.0489187,37.1462791
학교교과교습학원,종합(초등),127.0460267,37.14755968
학교교과교습학원,종합(중등),127.0460267,37.14755968
학교교과교습학원,영어(고등),127.0460267,37.14755968
학교교과교습학원,피아노(체르니30),127.0489187,37.1462791
학교교과교습학원,중등수학2,127.0685281,37.13511489
학교교과교습학원,"스쿨수학1,2,3,4,5",127.0687522,37.13392538
학교교과교습학원,"한국사1,2,3,4,5",127.0687522,37.13392538
학교교과교습학원,피아노,127.0687256,37.12923093
학교교과교습학원,수학+논술저학년,127.0687522,37.13392538
교습소,미술,127.0670738,37.13206113
교습소,보습,127.0711358,37.13139209
교습소,음악,127.0797771,37.12991808
교습소,보습,127.0711358,37.13139209
학교교과교습학원,"일본어1,2,3,4,5",127.0687522,37.13392538
학교교과교습학원,체르니100,127.0685281,37.13511489
학교교과교습학원,플룻,127.07094440000002,37.13133813
학교교과교습학원,"종합(국,영,수,사,과)",127.070922,37.1314733
학교교과교습학원,피아노 단계+1,127.0687256,37.12923093
학교교과교습학원,피아노고급,127.0711358,37.13139209
학교교과교습학원,수학초등4,127.0685281,37.13511489
학교교과교습학원,영어기초반,127.0686973,37.13550225
학교교과교습학원,영어고급반,127.0686973,37.13550225
학교교과교습학원,영어회화특강반,127.0686973,37.13550225
학교교과교습학원,고등영어1,127.0685281,37.13511489
학교교과교습학원,"영어똑똑1,2,3,4,5",127.0687522,37.13392538
학교교과교습학원,"한자1,2,3,4,5",127.0687522,37.13392538
학교교과교습학원,피아노 단계+2,127.0687256,37.12923093
