,Unnamed: 0,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat,lon,geometry
0,3,2017031500100415,2017년 3월 15일 17시,수요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,여,53세,상해없음,자전거,남,11,중상,37.15361798268714,127.07713340726175,"(37.15361798268714, 127.07713340726175)"
1,9,2017042300100333,2017년 4월 23일 16시,일요일,경기도 오산시 수청동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,자전거,남,11,부상신고,37.16390909929776,127.06109157662684,"(37.16390909929776, 127.06109157662684)"
2,16,2017050900100358,2017년 5월 9일 17시,화요일,경기도 오산시 은계동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,자전거,남,10,경상,37.16094266759975,127.07303051373236,"(37.16094266759975, 127.07303051373236)"
3,20,2017060200100161,2017년 6월 2일 08시,금요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,자전거,남,12,경상,37.17691597943953,127.05290017496912,"(37.17691597943953, 127.05290017496912)"
4,32,2017080600100284,2017년 8월 6일 16시,일요일,경기도 오산시 외삼미동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,자전거,남,12,경상,37.18924723989474,127.06348205494038,"(37.18924723989474, 127.06348205494038)"
5,33,2017081600100165,2017년 8월 16일 09시,수요일,경기도 오산시 부산동,중상사고,0,1,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,자전거,여,10,중상,37.15352810467113,127.07721271368202,"(37.15352810467113, 127.07721271368202)"
6,39,2017090200100613,2017년 9월 2일 21시,토요일,경기도 오산시 원동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,원동기,남,16세,상해없음,자전거,남,8,중상,37.14788553859916,127.07780241369792,"(37.14788553859916, 127.07780241369792)"
7,48,2017101600100107,2017년 10월 16일 08시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,여,39세,상해없음,자전거,남,10,경상,37.138388006994425,127.07229161663057,"(37.138388006994425, 127.07229161663057)"
8,51,2017111400100483,2017년 11월 14일 18시,화요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,상해없음,자전거,남,10,경상,37.137860756285136,127.07356731215155,"(37.137860756285136, 127.07356731215155)"
9,63,2018030900100374,2018년 3월 9일 19시,금요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,자전거,남,11,경상,37.158655392573536,127.07871034716707,"(37.158655392573536, 127.07871034716707)"
10,69,2018042900100339,2018년 4월 29일 16시,일요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,10,중상,37.15291810673845,127.06603611019254,"(37.15291810673845, 127.06603611019254)"
11,77,2018052700100042,2018년 5월 27일 02시,일요일,경기도 오산시 내삼미동,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,자전거,남,12,부상신고,37.175593192046726,127.06056107885364,"(37.175593192046726, 127.06056107885364)"
12,86,2018073000100297,2018년 7월 30일 13시,월요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,원동기,남,53세,상해없음,자전거,남,12,경상,37.15273189594326,127.07164924411263,"(37.15273189594326, 127.07164924411263)"
13,87,2018080800100140,2018년 8월 8일 09시,수요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,57세,상해없음,자전거,남,7,경상,37.17507895666709,127.04439839892792,"(37.17507895666709, 127.04439839892792)"
14,117,2019050300100372,2019년 5월 3일 14시,금요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,69세,상해없음,자전거,여,9,경상,37.14392859644405,127.06856952791884,"(37.14392859644405, 127.06856952791884)"
15,123,2019052300100522,2019년 5월 23일 18시,목요일,경기도 오산시 부산동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,39세,상해없음,자전거,여,9,중상,37.15870048857696,127.08362407794615,"(37.15870048857696, 127.08362407794615)"
16,135,2019070300100566,2019년 7월 3일 21시,수요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,66세,상해없음,자전거,남,9,경상,37.17910443415188,127.04992433953043,"(37.17910443415188, 127.04992433953043)"
17,137,2019071300100420,2019년 7월 13일 17시,토요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,23세,상해없음,자전거,남,11,중상,37.14938857808544,127.06502757133497,"(37.14938857808544, 127.06502757133497)"
18,147,2019082700100388,2019년 8월 27일 15시,화요일,경기도 오산시 금암동,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,자전거,남,9,부상신고,37.175070075128005,127.04443226284792,"(37.175070075128005, 127.04443226284792)"
19,155,2019092700100458,2019년 9월 27일 16시,금요일,경기도 오산시 원동,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음,자전거,남,10,부상신고,37.13880640866336,127.07325865264627,"(37.13880640866336, 127.07325865264627)"
20,157,2019100400100382,2019년 10월 4일 14시,금요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,53세,상해없음,자전거,남,10,경상,37.177777579549215,127.04958155144249,"(37.177777579549215, 127.04958155144249)"
21,159,2019101000100394,2019년 10월 10일 15시,목요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,49세,상해없음,자전거,남,11,경상,37.15561724547823,127.07161305874148,"(37.15561724547823, 127.07161305874148)"
22,160,2019101400100496,2019년 10월 14일 17시,월요일,경기도 오산시 가수동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,40세,상해없음,자전거,남,9,중상,37.145639242604325,127.0491796349043,"(37.145639242604325, 127.0491796349043)"
23,165,2019110600100490,2019년 11월 6일 17시,수요일,경기도 오산시 수청동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,40세,상해없음,자전거,남,12,중상,37.16935544017448,127.0658105190431,"(37.16935544017448, 127.0658105190431)"
24,175,2014012600100299,2014년 1월 26일 17시,일요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,42세,상해없음,자전거,남,7,경상,37.18651745027898,127.03889438361358,"(37.18651745027898, 127.03889438361358)"
25,185,2014040400100359,2014년 4월 4일 15시,금요일,경기도 오산시 가수동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,자전거,남,12,경상,37.1469281106274,127.04675041840828,"(37.1469281106274, 127.04675041840828)"
26,194,2014050800100491,2014년 5월 8일 18시,목요일,경기도 오산시 부산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,53세,상해없음,자전거,여,11,경상,37.15697008534593,127.07895484031208,"(37.15697008534593, 127.07895484031208)"
27,198,2014052700100501,2014년 5월 27일 18시,화요일,경기도 오산시 궐동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,자전거,남,12,경상,37.15679769616514,127.05721550301207,"(37.15679769616514, 127.05721550301207)"
28,199,2014052900100558,2014년 5월 29일 20시,목요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,자전거,남,6,경상,37.15499389177464,127.081015129515,"(37.15499389177464, 127.081015129515)"
29,202,2014060900100488,2014년 6월 9일 19시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,자전거,남,10,경상,37.14457775253834,127.08560423945326,"(37.14457775253834, 127.08560423945326)"
30,221,2014091700100364,2014년 9월 17일 16시,수요일,경기도 오산시 수청동,경상사고,0,0,1,0,차대차 - 측면직각충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,자전거,여,7,경상,37.16448127662349,127.06215955689396,"(37.16448127662349, 127.06215955689396)"
31,234,2014112000100336,2014년 11월 20일 14시,목요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,자전거,남,7,경상,37.18640918621337,127.04111600618992,"(37.18640918621337, 127.04111600618992)"
32,246,2015022800100323,2015년 2월 28일 16시,토요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,33세,상해없음,자전거,남,11,경상,37.14882151691799,127.07731349906132,"(37.14882151691799, 127.07731349906132)"
33,258,2015061400100387,2015년 6월 14일 18시,일요일,경기도 오산시 궐동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,자전거,남,11,중상,37.15929368438811,127.05909665673192,"(37.15929368438811, 127.05909665673192)"
34,260,2015070300100510,2015년 7월 3일 19시,금요일,경기도 오산시 원동,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,52세,상해없음,자전거,남,10,중상,37.13338202473286,127.06949850173592,"(37.13338202473286, 127.06949850173592)"
