,x,effect,hue
1,floating_pop_count50,2.090828102933301,base
2,elem_kinder_count400,2.4242922562663836,base
3,num_cram_school_count400,1.2915243397568457,base
4,parking_count25,3.2070012694244894,base
5,width_nearby_count25,0.6529312811437896,base
6,cross_road_nearby_count25,2.2230343746444317,base
1,floating_pop_count50,2.317408979751667,cluster0
2,elem_kinder_count400,1.718018441261325,cluster0
3,num_cram_school_count400,1.683749930413314,cluster0
4,parking_count25,5.806729912271816,cluster0
5,width_nearby_count25,0.8035688777920785,cluster0
6,cross_road_nearby_count25,2.635583942472902,cluster0
1,elem_kinder_count400,4.224564361830207,cluster3
2,cross_road_nearby_count25,2.132312529319363,cluster3
1,floating_pop_count50,3.3772757277721555,schoolzone
2,elem_kinder_count400,2.364247700229857,schoolzone
3,parking_count25,5.5192032204340915,schoolzone
4,cross_road_nearby_count25,1.5066455332983484,schoolzone
