무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
동두천-029,경기도,동두천시,시도,소2-80,어수로,3,경기도 동두천시 어수로83번길 37,경기도 동두천시 생연동 660-10,37.90440973,127.05242286,양키시장입구,4,0,,,,2013,동두천시청 교통행정과,031-860-2299,2020-08-24,3920000,경기도 동두천시
동두천-030,경기도,동두천시,시도,중1-4,삼육사로,3,경기도 동두천시 삼육사로 1020,경기도 동두천시 생연동 396-1,37.89958267,127.06304795,양주축협앞,4,0,,,,2014,동두천시청 교통행정과,031-860-2299,2020-08-24,3920000,경기도 동두천시
동두천-031,경기도,동두천시,시도,중2-39,지행로,3,경기도 동두천시 지행로 64,경기도 동두천시 지행동 721-1,37.89206961,127.05416489,신시가지파리바게트앞,4,0,,,,2014,동두천시청 교통행정과,031-860-2299,2020-08-24,3920000,경기도 동두천시
동두천-032,경기도,동두천시,일반국도,3번,평화로,3,경기도 동두천시 평화로 2539,경기도 동두천시 보산동 422,37.91431787,127.05723801,보산역앞,4,0,,,,2014,동두천시청 교통행정과,031-860-2299,2020-08-24,3920000,경기도 동두천시
동두천-033,경기도,동두천시,시도,중3-26,중앙로,3,경기도 동두천시 중앙로 134-30,경기도 동두천시 지행동 694-4,37.89315065,127.05434758,송내컨벤션 옆,4,0,,,,2019,동두천시청 교통행정과,031-860-2299,2020-08-24,3920000,경기도 동두천시
동두천-034,경기도,동두천시,시도,소2-63,지행로,3,경기도 동두천시 지행로 121,경기도 동두천시 지행동 330,37.89250231,127.06102737,지행초교 사거리,4,0,,,,2020,동두천시청 교통행정과,031-860-2299,2020-08-24,3920000,경기도 동두천시
사상-교통-001,부산광역시,사상구,3,대로3-80,사상로,3,부산광역시 사상구 사상로 214,,35.16420774,128.9839317,괘법동 부전국밥 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-002,부산광역시,사상구,3,대로3-80,사상로,3,부산광역시 사상구 사상로 211,,35.16397494,128.9833993,괘법동 롯데리아 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-003,부산광역시,사상구,3,대로2-28,백양대로,3,부산광역시 사상구 백양대로 919,,35.18841646,128.990764,모라동 부산은행 주변 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-004,부산광역시,사상구,3,광로3-2,강변대로532번길,3,부산광역시 사상구 농산물시장로25번길 75,,35.13012416,128.9660841,강변대로532번길 농협부산공판장 입구(엄궁농산물시장 북문) 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-005,부산광역시,사상구,7,중로3-105,대동로,3,부산광역시 사상구 대동로 104-6,,35.13845569,128.9793044,학장동 목화아파트 앞,4,30,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-006,부산광역시,사상구,3,대로1-5,낙동대로,3,부산광역시 사상구 낙동대로 761,,35.12918553,128.970164,엄궁동 엄궁복집 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
